,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
41,Lingual Gyrus,L G_oc-temp_med-Lingual,Vermis VI,Background,GM Visual cortex V4 L,CEREBELLUM_VI_dorsal,Background,VisPeri,41,"[-9.08199699005607, -67.46833732425542, -13.866219518646176]"
42,Background,R S_pericallosal,Background,Pontine crossing tract (a part of MCP),WM Superior occipito-frontal fascicle L,CAUDATE_dorsal,Background,Background,42,"[-12.467040183345688, 18.732037543889675, 17.80241475516462]"
43,Precentral Gyrus,R G_precentral,Background,Background,GM Premotor cortex BA6 R,right_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,43,"[36.040580098664606, -23.406541409604586, 71.13805301072466]"
44,Heschl's Gyrus (includes H1 and H2),R G_temp_sup-G_T_transv,Background,Background,GM Primary auditory cortex TE1.0 R,SUPERIOR_TEMPORAL_GYRUS_middle,SomMotA,SomMotB,44,"[55.05594208099464, -16.331802997346827, 10.256916430290218]"
45,Lingual Gyrus,R G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V3V R,VENTRAL_VISUAL_NETWORK_medial,VisCent,VisPeri,45,"[12.379265257998867, -77.351889159709, -4.437123180105814]"
46,Precentral Gyrus,R S_precentral-inf-part,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,WM Corticospinal tract R,right_MIDDLE_FRONTAL_GYRUS_posterior,DorsAttnB,ContA,46,"[36.433755910485274, -2.60811972127712, 37.52552706397651]"
47,Middle Frontal Gyrus,L S_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,ContB,47,"[-29.67200856427675, 12.392111464688469, 47.409038628396985]"
48,Lingual Gyrus,R G_oc-temp_med-Lingual,Right VI,Background,GM Visual cortex V3V R,CEREBELLUM_VI_dorsal,VisCent,VisPeri,48,"[12.327446935026302, -64.81129117867562, -12.731206460609059]"
49,Background,Background,Background,Superior cerebellar peduncle L,GM Mamillary body,THALAMUS_ventral,Background,Background,49,"[0.1696580261906746, -16.47081339497612, -3.514739598392211]"
50,Parietal Operculum Cortex,R Lat_Fis-post,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Secondary somatosensory cortex / Parietal operculum OP2 R,HESCHLS GYRUS,Background,SomMotB,50,"[40.42733316712713, -22.889848192478127, 26.004065215019722]"
51,"Lateral Occipital Cortex, superior division",R G_parietal_sup,Background,Background,GM Superior parietal lobule 7P R,PRECUNEUS_dorsal,DorsAttnB,DorsAttnA,51,"[15.107967747437598, -72.37248695511505, 61.29680623612674]"
52,"Middle Temporal Gyrus, anterior division",R G_temp_sup-Lateral,Background,Background,Background,right_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,DefaultB,52,"[51.712511986456036, 8.5100799454342, -27.002858698150632]"
53,Background,L G_cingul-Post-ventral,Background,Background,GM Hippocampus subiculum L,THALAMUS_ventral,Background,Background,53,"[-0.13367737432260185, -36.256349365286866, -0.8447466265387646]"
54,"Middle Temporal Gyrus, posterior division",L G_temp_sup-Lateral,Background,Background,Background,left_MIDDLE_TEMPORAL_GYRUS_posterior,DefaultB,DefaultB,54,"[-66.60346376393316, -34.333393570856245, -0.6383764647359129]"
55,Insular Cortex,L G_Ins_lg_and_S_cent_ins,Background,Uncinate fasciculus R,WM Inferior occipito-frontal fascicle L,PERI_INSULAR_SULCUS,SalVentAttnA,SalVentAttnA,55,"[-33.5166972959823, 8.554470149259032, -15.880022568137036]"
56,"Inferior Frontal Gyrus, pars opercularis",R S_front_inf,Background,Background,GM Broca's area BA45 R,right_INFERIOR_FRONTAL_SULCUS,ContA,ContA,56,"[41.59052274150909, 22.07708576111989, 18.32864950887236]"
57,"Parahippocampal Gyrus, posterior division",L G_oc-temp_med-Parahip,Background,Cingulum (hippocampus) R,GM Lateral geniculate body R,HIPPOCAMPUS,Background,DefaultC,57,"[25.704230491928556, -25.944306572607545, -11.64439709914653]"
58,"Cingulate Gyrus, posterior division",L S_pericallosal,Background,Body of corpus callosum,WM Callosal body,PARIETO_OCCIPITAL_SULCUS_ventral,Background,ContC,58,"[-8.823860199317195, -41.8949047908864, 15.188631709378242]"
59,Occipital Fusiform Gyrus,L G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_ventromedial,VisCent,VisCent,59,"[-13.63367248833724, -90.37395189498415, -7.093720097061649]"
60,Cuneal Cortex,L S_parieto_occipital,Background,Background,GM Superior parietal lobule 7M L,PARIETO_OCCIPITAL_SULCUS_dorsal,VisCent,ContC,60,"[-7.054233074454416, -74.21095858692937, 29.004756186778167]"
61,Frontal Medial Cortex,R S_suborbital,Background,Background,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_posterior,LimbicA,LimbicB,61,"[-1.4017129098134262, 36.35887011121457, -14.838867643427797]"
62,Superior Frontal Gyrus,L S_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,ContB,62,"[-24.44371528177838, 18.49717008002682, 54.593623614433284]"
63,Background,Background,Left V,Unclassified,Background,CEREBELLUM_I-V,Background,Background,63,"[-23.74388445745261, -38.18229176013662, -32.7408798628918]"
64,"Parahippocampal Gyrus, posterior division",R G_oc-temp_med-Parahip,Right I-IV,Cingulum (cingulate gyrus) L,GM Hippocampus subiculum R,COLLATERAL_SULCUS,VisCent,DefaultC,64,"[19.181438122642405, -37.36968159724647, -11.223140936584855]"
65,Frontal Pole,R G_front_middle,Background,Background,Background,right_PARS_ORBITALIS,ContA,SalVentAttnB,65,"[39.927013724770006, 51.40909070082074, 13.789037798157793]"
66,"Superior Temporal Gyrus, anterior division",R G_temp_sup-Lateral,Background,Background,Background,right_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,TempPar,66,"[55.05694515516541, -1.9455841588267049, -18.4139353638868]"
67,Paracingulate Gyrus,R G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal,DefaultB,DefaultB,67,"[7.631934933681563, 48.354578760191515, 29.612365572299993]"
68,Insular Cortex,R S_circular_insula_sup,Background,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) L,WM Corticospinal tract R,PUTAMEN_posterior,Background,Background,68,"[29.357465049271227, -3.1709356867821157, 8.348247452749561]"
69,"Cingulate Gyrus, posterior division",L G_cingul-Post-dorsal,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,POSTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,69,"[-0.605179465617212, -35.019457067368364, 33.67198290500234]"
70,Heschl's Gyrus (includes H1 and H2),L G_temp_sup-G_T_transv,Background,Background,GM Primary auditory cortex TE1.1 L,HESCHLS GYRUS,SomMotA,SomMotB,70,"[-45.31426394029061, -27.205314377773675, 12.360357456433292]"
71,Background,L G_subcallosal,Background,Anterior limb of internal capsule R,Background,PUTAMEN_anterior,Background,Background,71,"[-15.385233721911064, 13.003367753655056, -4.8888867682921955]"
72,"Lateral Occipital Cortex, superior division",L G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule PGp L,left_ANGULAR_GYRUS,DefaultB,TempPar,72,"[-53.85534704387531, -66.08700368191828, 20.01223627649466]"
73,Background,L S_central,Background,Superior corona radiata R,WM Corticospinal tract L,SOMATOMOTOR_NETWORK_anteromedial,Background,Background,73,"[-22.405987343570004, -22.89447863049692, 48.00497864345223]"
74,Intracalcarine Cortex,R S_calcarine,Background,Body of corpus callosum,GM Visual cortex V1 BA17 R,MEDIAL_VISUAL_NETWORK_anterodorsal,VisCent,VisPeri,74,"[18.096744437774518, -62.89963209895042, 7.028353622817605]"
75,"Parahippocampal Gyrus, posterior division",L G_oc-temp_lat-fusifor,Left V,Cingulum (hippocampus) R,Background,CEREBELLUM_I-V,VisCent,DefaultC,75,"[-25.7811535927342, -38.36708520477606, -24.242427024439706]"
76,Planum Temporale,R G_pariet_inf-Supramar,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP1 R,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnA,76,"[63.21724679751344, -20.777615036991264, 16.173653865276506]"
77,Precentral Gyrus,L S_central,Background,Background,GM Primary motor cortex BA4p L,SOMATOMOTOR_NETWORK_lateral,SomMotA,SomMotA,77,"[-38.3446536486918, -14.540332248764571, 45.35351707519902]"
78,Postcentral Gyrus,L G_and_S_paracentral,Background,Background,GM Primary motor cortex BA4a L,SUPERIOR_PARIETAL_LOBULE,SomMotA,SomMotA,78,"[-12.897188071474062, -25.590673310240817, 80.94654526368456]"
79,Insular Cortex,R S_circular_insula_inf,Background,Posterior limb of internal capsule L,GM Insula Ig1 R,PUTAMEN_posterior,Background,SomMotB,79,"[30.59161206242915, -19.147406928498896, 3.6584546956956814]"
80,Intracalcarine Cortex,R S_oc_middle_and_Lunatus,Background,Background,WM Optic radiation R,POSTERIOR_VISUAL_NETWORK_dorsomedial,Background,Background,80,"[22.221974006094698, -81.04736630847907, 10.858259655907375]"
81,Frontal Orbital Cortex,L S_circular_insula_ant,Background,External capsule R,WM Uncinate fascicle L,PUTAMEN_anterior,Background,Background,81,"[22.125072670145343, 8.273184170854279, -10.321005534159141]"
82,Planum Temporale,L G_temp_sup-Plan_tempo,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP1 L,SUPERIOR_TEMPORAL_GYRUS_posterior,SomMotA,SomMotB,82,"[-62.95740732249714, -23.686546381385824, 12.632947525319295]"
83,Background,Background,Right VIIIb,Background,Background,CEREBELLUM_VIIIab,Background,Background,83,"[23.269265676990386, -52.58491530074997, -52.81951569257112]"
84,Background,Background,Right Crus I,Background,Background,CEREBELLUM_CRUSI,Background,Background,84,"[20.96488144587002, -86.0991398394634, -23.735791082179233]"
85,Paracingulate Gyrus,R G_and_S_cingul-Ant,Background,Background,WM Cingulum R,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,85,"[9.089576382776471, 43.09019745453432, 15.509898887325932]"
86,Middle Frontal Gyrus,R G_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,86,"[39.270999646734026, 23.348564439273247, 54.10263080492862]"
87,"Lateral Occipital Cortex, superior division",L G_parietal_sup,Background,Background,GM Superior parietal lobule 7A L,left_INTRAPARIETAL_SULCUS,DorsAttnB,DorsAttnA,87,"[-24.146806143542634, -67.11959738386747, 65.52259183826581]"
88,Background,L S_front_sup,Background,Superior corona radiata R,WM Superior occipito-frontal fascicle L,left_MIDDLE_FRONTAL_GYRUS_posterorostral,Background,Background,88,"[-24.20102626198853, 9.174899170194465, 32.892478712032485]"
89,Middle Frontal Gyrus,L S_front_middle,Background,Background,Background,left_MIDDLE_FRONTAL_GYRUS_anterior,SalVentAttnA,SalVentAttnB,89,"[-35.546063912298635, 37.38500323805442, 33.13572571284291]"
90,"Lateral Occipital Cortex, inferior division",R G_and_S_occipital_inf,Background,Background,GM Visual cortex V5 R,LATERAL_VISUAL_NETWORK_posterior,VisCent,VisCent,90,"[46.38610183368277, -74.98947546566015, -4.376303883792957]"
91,"Parahippocampal Gyrus, posterior division",L G_oc-temp_med-Parahip,Background,Superior cerebellar peduncle L,GM Medial geniculate body L,CEREBELLUM_VERMIS,Background,DefaultC,91,"[13.354715358713207, -31.000025136795728, -7.075796174284605]"
92,Background,R S_subparietal,Background,Superior corona radiata L,GM Anterior intra-parietal sulcus hIP1 R,right_DORSAL_VISUAL_STREAM_ventral,Background,Background,92,"[22.350549999021865, -52.770695519383395, 33.172299699066045]"
93,Supracalcarine Cortex,R G_cuneus,Background,Background,GM Visual cortex V1 BA17 R,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,93,"[2.778206023411343, -81.30662222141703, 6.865779627228761]"
94,Background,Background,Background,Background,WM Fornix,THALAMUS_dorsal,Background,Background,94,"[10.149682721538156, -20.800824042262704, 10.504349770766737]"
95,Paracingulate Gyrus,L G_and_S_cingul-Ant,Background,Background,Background,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,95,"[-0.4730245806359079, 49.75109295585196, 3.8713083511795645]"
96,"Lateral Occipital Cortex, superior division",R S_temporal_sup,Background,Background,GM Inferior parietal lobule PGp R,DORSAL_VISUAL_STREAM_ventrolateral,DorsAttnB,DefaultC,96,"[43.80852622197585, -69.11724106808995, 25.80109302070055]"
97,Background,Background,Left X,Medial lemniscus L,Background,CEREBELLUM_IX_middle,Background,Background,97,"[15.642339443758928, -44.49442428275671, -45.30153862857562]"
98,Background,Background,Background,Superior corona radiata L,WM Superior occipito-frontal fascicle R,CAUDATE_dorsal,Background,Background,98,"[18.323821960880153, -17.35976555639803, 23.36407253736249]"
99,Postcentral Gyrus,R S_central,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Primary motor cortex BA4p R,SOMATOMOTOR_NETWORK_lateral,SomMotA,SomMotB,99,"[42.42978019655527, -15.23913888381577, 38.31784829497822]"
100,"Lateral Occipital Cortex, superior division",R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule PGp R,right_INFERIOR_PARIETAL_LOBULE,ContA,ContB,100,"[39.857049696574705, -73.50423526464502, 47.29440252936348]"
101,Occipital Pole,L S_oc_middle_and_Lunatus,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,101,"[-23.902967603192607, -93.82530998160601, 6.155021424215093]"
102,"Inferior Temporal Gyrus, temporooccipital part",L S_temporal_inf,Background,Background,Background,OCCIPITOTEMPORAL_GYRUS_lateral,ContA,ContB,102,"[-57.42717494086224, -43.9019221800569, -13.217907034978339]"
103,"Cingulate Gyrus, anterior division",R G_and_S_cingul-Mid-Post,Background,Cingulum (cingulate gyrus) R,GM Premotor cortex BA6 R,CINGULATE_SULCUS_posterior,SalVentAttnA,SalVentAttnA,103,"[0.2503330033573832, 0.6425071820257529, 40.91589562481205]"
104,Angular Gyrus,R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga R,right_INFERIOR_PARIETAL_LOBULE,DefaultB,ContB,104,"[50.9575687763361, -54.601467791973846, 43.16183883951706]"
105,Frontal Medial Cortex,R S_suborbital,Background,Retrolenticular part of internal capsule L,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_posterior,DefaultB,DefaultA,105,"[11.35585965897441, 46.63458931752851, -10.609289928364518]"
106,Heschl's Gyrus (includes H1 and H2),L S_circular_insula_inf,Background,Retrolenticular part of internal capsule R,GM Insula Ig1 L,POSTERIOR_INSULA_ventral,SomMotA,SomMotB,106,"[-33.50406161830644, -23.590127167361203, 1.8775249917923986]"
107,Background,Background,Background,Corticospinal tract R,WM Corticospinal tract L,Background,Background,Background,107,"[-0.3079217803230847, -23.577869986841236, -22.267183577046644]"
108,Frontal Pole,Background,Background,Background,Background,left_MIDDLE_FRONTAL_GYRUS_anterior,SalVentAttnA,SalVentAttnB,108,"[-32.810295874985826, 43.268585788875185, 41.56323145287746]"
109,"Inferior Frontal Gyrus, pars triangularis",L S_front_inf,Background,Background,GM Broca's area BA45 L,left_INFERIOR_FRONTAL_SULCUS,ContA,ContA,109,"[-46.73512585421759, 34.437113464397214, 19.1210615286209]"
110,Background,L G_cingul-Post-ventral,Background,Cingulum (hippocampus) R,GM Medial geniculate body L,THALAMUS_ventral,Background,Background,110,"[-13.20723715729099, -31.17134696510813, -1.5290269109452481]"
111,Superior Frontal Gyrus,R G_front_sup,Background,Background,GM Premotor cortex BA6 R,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,ContA,ContB,111,"[15.541927784066232, 18.119971074435142, 59.4850655881481]"
112,"Middle Temporal Gyrus, anterior division",L G_temp_sup-Lateral,Background,Background,Background,left_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,DefaultB,112,"[-54.11411465875646, 6.618784985797191, -24.066459547502532]"
113,"Cingulate Gyrus, posterior division",L G_cingul-Post-dorsal,Background,Background,GM Primary motor cortex BA4a L,INFERIOR_MARGINAL_SULCUS,SomMotA,SomMotA,113,"[-0.48256879548064546, -22.632838390654527, 45.67963016498197]"
114,Frontal Pole,R S_front_middle,Background,Retrolenticular part of internal capsule L,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,Background,ContA,114,"[31.41284446924284, 34.50117968077373, 17.359613136808264]"
115,"Inferior Frontal Gyrus, pars opercularis",L Lat_Fis-ant-Vertical,Background,Background,GM Broca's area BA44 L,left_VENTROLATERAL_PREFRONTAL_CORTEX,DefaultB,DefaultB,115,"[-51.92777202202367, 19.816069403545242, 11.198026194477109]"
116,Lingual Gyrus,R G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V1 BA17 L,VENTRAL_VISUAL_NETWORK_medial,VisCent,VisPeri,116,"[0.3980692474123799, -79.28046986829858, -5.0827620519552426]"
117,"Inferior Frontal Gyrus, pars triangularis",R G_front_inf-Triangul,Background,Background,GM Broca's area BA45 R,right_VENTROLATERAL_PREFRONTAL_CORTEX,ContA,ContA,117,"[59.399026531983, 24.864132613241594, 18.277216696964913]"
118,Background,Background,Background,Body of corpus callosum,WM Fornix,THALAMUS_dorsal,Background,Background,118,"[12.888711710960123, -34.00608047357797, 12.421700085214269]"
119,Temporal Occipital Fusiform Cortex,L G_oc-temp_lat-fusifor,Left Crus I,Background,Background,CEREBELLUM_CRUSI,DorsAttnB,DorsAttnA,119,"[-43.420473475013765, -58.098707715648274, -25.337922977070576]"
120,Temporal Occipital Fusiform Cortex,R G_oc-temp_lat-fusifor,Right VI,Background,Background,LATERAL_VISUAL_NETWORK_ventroposterior,VisCent,VisCent,120,"[33.74424089898773, -53.717960333988245, -20.525494344317963]"
121,"Inferior Temporal Gyrus, temporooccipital part",L G_oc-temp_lat-fusifor,Background,Background,Background,OCCIPITOTEMPORAL_GYRUS_lateral,DorsAttnB,DorsAttnA,121,"[-50.28269042506725, -62.93774054810454, -17.96871522996839]"
122,"Middle Temporal Gyrus, anterior division",L G_temporal_middle,Background,Background,Background,left_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,DefaultB,122,"[-64.07232060753147, -13.578123636618017, -13.382231324451368]"
123,Superior Parietal Lobule,R G_and_S_paracentral,Background,Background,GM Superior parietal lobule 5L R,PRECUNEUS_dorsal,SomMotA,DorsAttnB,123,"[14.28916336838968, -44.4138356104319, 71.94085591279412]"
