,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
101,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),L G_and_S_cingul-Mid-Post,Background,Background,GM Premotor cortex BA6 L,SOMATOMOTOR_NETWORK_anteromedial,SomMotA,SomMotA,101,"[-0.1701273328540367, -6.339705945788282, 50.59665777938753]"
102,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V2 BA18 L,POSTERIOR_VISUAL_NETWORK_dorsomedial,VisCent,VisCent,102,"[18.255890182072605, -98.2990107376054, 14.660345989855443]"
103,Middle Frontal Gyrus,R S_precentral-inf-part,Background,Background,GM Broca's area BA44 R,right_INFERIOR_FRONTAL_SULCUS,ContA,ContA,103,"[46.09441924483005, 12.718310895885736, 32.63489812806155]"
104,"Cingulate Gyrus, anterior division",L G_and_S_cingul-Mid-Post,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 5Ci L,CINGULATE_SULCUS_posterior,SalVentAttnA,SalVentAttnA,104,"[12.473188562720608, -26.57229036646487, 41.391244334327126]"
105,Middle Frontal Gyrus,R G_front_middle,Background,Background,GM Broca's area BA45 R,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,105,"[47.16918341461658, 23.13109246325567, 44.51152122962279]"
106,Frontal Operculum Cortex,L Lat_Fis-ant-Horizont,Background,Background,GM Broca's area BA44 L,ANTERIOR_INSULA_anteroodorsal,SalVentAttnA,SalVentAttnB,106,"[-35.95369553724641, 24.511055927165643, 0.09274344533669421]"
107,"Lateral Occipital Cortex, inferior division",R G_and_S_occipital_inf,Right Crus I,Background,GM Visual cortex V4 R,LATERAL_VISUAL_NETWORK_ventroposterior,VisCent,VisCent,107,"[41.6228848645581, -74.82554154719415, -15.879929020626363]"
108,Central Opercular Cortex,R G_and_S_subcentral,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP2 R,POSTERIOR_INSULA_dorsal,SomMotA,SomMotB,108,"[42.772805930712906, -14.187694212014875, 14.54909714305883]"
109,Angular Gyrus,L S_interm_prim-Jensen,Background,Background,GM Inferior parietal lobule Pga L,left_INFERIOR_PARIETAL_LOBULE,DefaultB,DefaultA,109,"[-49.02599784044217, -62.06844143240201, 27.17565676399066]"
110,Intracalcarine Cortex,R S_calcarine,Background,Background,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,110,"[3.170513402176283, -74.6939439230073, 13.858803749469558]"
111,"Supramarginal Gyrus, anterior division",R S_postcentral,Background,Background,GM Inferior parietal lobule PFt R,left_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,111,"[43.49918637562638, -32.17788019690937, 47.10039515966898]"
112,Temporal Occipital Fusiform Cortex,L G_oc-temp_lat-fusifor,Right VI,Background,Background,CEREBELLUM_VI_dorsal,Background,Background,112,"[-25.976541678930403, -59.03130514254967, -20.972185817202806]"
113,"Supramarginal Gyrus, anterior division",R G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PFcm R,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnA,113,"[60.03192302487665, -29.712530285401556, 29.195459562505675]"
114,Background,Background,Left I-IV,Middle cerebellar peduncle,Background,CEREBELLUM_I-V,Background,Background,114,"[0.5377622638440727, -43.25364441190072, -25.13858096366443]"
115,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,115,"[-22.127019175467055, -100.76457126052203, -4.667366335228891]"
116,Paracingulate Gyrus,L G_and_S_transv_frontopol,Background,Background,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_anterior,DefaultB,DefaultA,116,"[-1.0149165345957982, 58.51765426077628, -0.43406047362023514]"
117,Precuneous Cortex,L S_parieto_occipital,Background,Background,GM Superior parietal lobule 7M L,PARIETO_OCCIPITAL_SULCUS_dorsal,ContA,ContC,117,"[12.027654110211884, -67.564616421419, 34.032234209789394]"
118,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),L G_front_sup,Background,Background,GM Premotor cortex BA6 L,PRE_SUPPLEMENTARY_MOTOR_CORTEX_posterior,SalVentAttnA,SalVentAttnA,118,"[0.22500550701084876, 2.382707545695297, 58.48253392672595]"
119,Temporal Occipital Fusiform Cortex,R G_oc-temp_lat-fusifor,Right VI,Background,GM Visual cortex V4 R,VENTRAL_VISUAL_NETWORK_lateral,VisCent,VisCent,119,"[31.072042039377337, -61.747447130312295, -16.986796937517276]"
120,Precuneous Cortex,R G_precuneus,Background,Background,GM Superior parietal lobule 7M R,PARIETO_OCCIPITAL_SULCUS_dorsal,ContA,ContC,120,"[0.6260510590804671, -67.1794991932214, 45.10815957126772]"
