,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,component,cut_coords
10,Occipital Fusiform Gyrus,L G_oc-temp_lat-fusifor,Left Crus I,Background,Background,CEREBELLUM_CRUSI,10,"[-20.50311322229895, -78.47880099025947, -21.062912959390296]"
11,Postcentral Gyrus,R G_postcentral,Background,Background,GM Primary somatosensory cortex BA2 R,right_SOMATOMOTOR_NETWORK_dorsolateral,11,"[40.27274526559211, -21.141356519657904, 58.47102962156316]"
12,Occipital Pole,L G_occipital_sup,Background,Background,GM Visual cortex V2 BA18 L,MEDIODORSAL_VISUAL_NETWORK_posterior,12,"[-15.094274353864023, -91.64355045636867, 30.654154191879613]"
13,"Cingulate Gyrus, posterior division",R S_subparietal,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 7M L,POSTERIOR_CINGULATE_CORTEX,13,"[1.0137097377766935, -57.778626190426905, 39.38690148089931]"
14,Background,Background,Background,Splenium of corpus callosum,WM Fornix,CAUDATE_dorsal,14,"[10.886918870176729, -2.316193766829599, 15.758538924402302]"
15,Temporal Occipital Fusiform Cortex,R S_oc-temp_lat,Right VI,Background,GM Visual cortex V4 R,LATERAL_VISUAL_NETWORK_ventroposterior,15,"[-48.589585128289, -68.50683257482079, -10.827280343840016]"
16,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),L G_front_sup,Background,Background,GM Premotor cortex BA6 L,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,16,"[-0.45577252754233655, 11.254182738232686, 53.57344273422464]"
17,Precuneous Cortex,R G_precuneus,Background,Background,GM Superior parietal lobule 7P L,PRECUNEUS_dorsal,17,"[-0.220627635591228, -66.39702655320484, 58.364261535555414]"
18,Planum Polare,R G_front_inf-Opercular,Background,Background,GM Primary auditory cortex TE1.2 R,POSTERIOR_INSULA_ventral,18,"[54.35618425751622, 0.9148760898258388, 2.1530803107642953]"
19,Cuneal Cortex,R S_parieto_occipital,Background,Background,GM Superior parietal lobule 7M L,MEDIODORSAL_VISUAL_NETWORK_anterior,19,"[3.192837486609136, -75.64858937671946, 29.54910501211532]"
20,Background,Background,Right V,Medial lemniscus L,Background,CEREBELLUM_I-V,20,"[2.5684259997346004, -51.33260995370371, -22.965543039362274]"
21,"Cingulate Gyrus, posterior division",L G_cingul-Post-ventral,Left I-IV,Splenium of corpus callosum,GM Medial geniculate body R,PARIETO_OCCIPITAL_SULCUS_ventral,21,"[0.22646714891708086, -39.670332581905825, 2.6315904914149115]"
22,Paracingulate Gyrus,L G_and_S_cingul-Ant,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,22,"[0.7580767312331602, 37.383315914611075, 23.850858623297597]"
23,Occipital Pole,R S_oc_middle_and_Lunatus,Background,Background,GM Visual cortex V2 BA18 R,LATERAL_VISUAL_NETWORK_dorsoposterior,23,"[31.579871001798864, -83.80009036739762, 19.862332609185472]"
24,Insular Cortex,L S_circular_insula_inf,Background,External capsule R,WM Uncinate fascicle L,PUTAMEN_posterior,24,"[-28.26359441701139, -3.6121219124030404, 3.697231728710136]"
25,"Cingulate Gyrus, anterior division",L G_and_S_cingul-Mid-Ant,Background,Cingulum (cingulate gyrus) R,GM Insula Id1 L,ANTERIOR_CINGULATE_CORTEX_dorsal,25,"[-0.11880348917001982, 14.709154052751046, 36.61963930289035]"
26,"Lateral Occipital Cortex, superior division",R S_intrapariet_and_P_trans,Background,Background,GM Superior parietal lobule 7P R,DORSAL_VISUAL_STREAM_superior,26,"[19.96986474483083, -70.70363550264801, 52.46231672287766]"
27,Precentral Gyrus,R G_and_S_paracentral,Background,Background,GM Primary motor cortex BA4a L,SOMATOMOTOR_NETWORK_medial,27,"[0.0818027189314563, -26.472254983288423, 61.217024701606334]"
28,Occipital Fusiform Gyrus,L G_and_S_occipital_inf,Right VI,Background,GM Visual cortex V4 L,NOISE,28,"[24.694877004074442, -81.65517276250851, -16.305572664532065]"
29,Paracingulate Gyrus,L S_suborbital,Background,Background,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_anterior,29,"[-1.213518914340625, 53.6866584342207, -1.1313694023542382]"
30,Intracalcarine Cortex,L S_calcarine,Background,Posterior thalamic radiation (include optic radiation) R,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_posterior,30,"[-12.020043799294783, -73.81483277926894, 7.599393802950374]"
31,"Lateral Occipital Cortex, superior division",L G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga L,left_INTRAPARIETAL_SULCUS,31,"[-35.95524396813465, -63.81038482950288, 48.49336220516763]"
32,Superior Parietal Lobule,R G_parietal_sup,Background,Background,GM Superior parietal lobule 7PC L,SUPERIOR_PARIETAL_LOBULE,32,"[18.946241572739495, -56.419145431913435, 65.56598554680178]"
33,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),L G_and_S_cingul-Mid-Post,Background,Background,GM Premotor cortex BA6 L,SOMATOMOTOR_NETWORK_anteromedial,33,"[-0.003610148742765773, -5.3469608325554105, 52.51604047195036]"
34,Lingual Gyrus,R G_cingul-Post-ventral,Background,Cingulum (hippocampus) R,GM Visual cortex V2 BA18 L,MEDIAL_VISUAL_NETWORK_anteroventral,34,"[15.095000851589703, -52.828012058395586, 2.6307626413948952]"
35,Angular Gyrus,R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga R,right_INFERIOR_PARIETAL_LOBULE,35,"[52.04013342241902, -58.86731494007714, 43.66514173505634]"
36,"Supramarginal Gyrus, anterior division",R G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PF R,SUPRAMARGINAL_GYRUS,36,"[60.883551636672564, -29.342655675242455, 28.930457567651544]"
37,"Supramarginal Gyrus, posterior division",L S_precentral-inf-part,Background,Background,GM Anterior intra-parietal sulcus hIP2 L,left_INTRAPARIETAL_SULCUS,37,"[-39.83943487212935, -46.79895237808154, 44.797425872939684]"
38,Paracingulate Gyrus,L G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal,38,"[-0.8712165973948771, 56.95760333462641, 20.80473807169956]"
39,Superior Frontal Gyrus,L S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 L,FRONTAL_EYE_FIELD,39,"[28.83685283836931, -3.0180017170494295, 57.447247186621695]"
40,Postcentral Gyrus,L S_central,Background,Background,GM Primary somatosensory cortex BA3b L,SOMATOMOTOR_NETWORK_ventrolateral,40,"[54.52900873749829, -5.8322731881553125, 28.73521168022822]"
41,"Lateral Occipital Cortex, inferior division",R S_occipital_ant,Background,Background,GM Visual cortex V5 R,FUSIFORM_GYRUS_dorsolateral,41,"[51.544762323581466, -65.31244146005884, 5.916792771625637]"
42,"Cingulate Gyrus, posterior division",L S_cingul-Marginalis,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 5Ci R,INFERIOR_MARGINAL_SULCUS,42,"[10.405015931638957, -36.948973057431616, 50.941633997902755]"
43,Postcentral Gyrus,L G_and_S_paracentral,Background,Background,GM Superior parietal lobule 5L L,SUPERIOR_PARIETAL_LOBULE,43,"[-0.9020724676183249, -16.001253235773333, 75.73807233179343]"
44,Parietal Operculum Cortex,R Lat_Fis-post,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP2 R,HESCHLS GYRUS,44,"[41.92453061961788, -25.48634536993768, 17.994881032638546]"
45,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_lateral,45,"[-27.579883184558867, -96.91664535438505, 1.0791783290897285]"
46,Background,Background,Background,Posterior limb of internal capsule R,GM Insula Ig1 L,THALAMUS_dorsal,46,"[-10.519669153638887, -16.79649780003912, 8.360945247881716]"
47,"Supramarginal Gyrus, posterior division",R S_interm_prim-Jensen,Background,Background,GM Anterior intra-parietal sulcus hIP2 R,right_INTRAPARIETAL_SULCUS,47,"[42.16580355193068, -47.08088079591829, 48.92569179048169]"
48,"Inferior Frontal Gyrus, pars opercularis",R S_front_inf,Background,Background,GM Broca's area BA44 R,right_INFERIOR_FRONTAL_SULCUS,48,"[46.65427260848011, 13.294402467372464, 29.000970178158155]"
49,Postcentral Gyrus,L G_postcentral,Background,Background,GM Primary somatosensory cortex BA2 L,left_SOMATOMOTOR_NETWORK_dorsolateral,49,"[-48.627410028471914, -33.2791519801638, 52.03769374893892]"
50,Middle Frontal Gyrus,R G_front_middle,Background,Background,GM Broca's area BA45 R,right_MIDDLE_FRONTAL_GYRUS_posterior,50,"[47.88677931329758, 23.537234931483653, 39.71781809762504]"
51,"Inferior Frontal Gyrus, pars triangularis",L S_front_inf,Background,Background,GM Broca's area BA45 L,left_INFERIOR_FRONTAL_SULCUS,51,"[-50.055243626300545, 33.54946535578759, 17.511124052266865]"
52,Precuneous Cortex,R G_cingul-Post-ventral,Background,Cingulum (hippocampus) R,GM Superior parietal lobule 7M R,PARIETO_OCCIPITAL_SULCUS,52,"[-12.694187305264194, -61.20364809418703, 16.820970629574617]"
53,Precuneous Cortex,L G_precuneus,Background,Background,GM Superior parietal lobule 5M L,PRECUNEUS_dorsal,53,"[0.3165391110256195, -48.880091632617805, 50.15475572512341]"
54,Occipital Fusiform Gyrus,L S_collat_transv_post,Right VI,Background,GM Visual cortex V3V R,VENTRAL_VISUAL_NETWORK_medial,54,"[19.18079885190879, -68.67852556905098, -9.95297140471088]"
55,"Lateral Occipital Cortex, superior division",L S_oc_sup_and_transversal,Background,Background,GM Inferior parietal lobule PGp L,left_DORSAL_VISUAL_STREAM_ventral,55,"[31.94334574569551, -73.78779923425019, 33.96096640800397]"
56,"Lateral Occipital Cortex, superior division",L G_parietal_sup,Background,Background,GM Superior parietal lobule 7P R,left_INTRAPARIETAL_SULCUS,56,"[28.151990087850947, -68.84591200038375, 59.31229770911557]"
57,Frontal Pole,R S_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,57,"[31.46343419755391, 48.092436040540264, 25.859472696713738]"
58,Angular Gyrus,L G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule PGp L,left_INFERIOR_PARIETAL_LOBULE,58,"[-48.223454152905724, -65.64111763159599, 31.686406751158884]"
59,Supracalcarine Cortex,R G_cuneus,Background,Background,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_posterior,59,"[1.7814476280416471, -79.67611296874068, 15.122078174464178]"
60,"Middle Temporal Gyrus, posterior division",L G_front_inf-Orbital,Background,Background,GM Broca's area BA45 L,left_MIDDLE_TEMPORAL_GYRUS_posterior,60,"[-60.17734105481438, -36.205453709904745, -0.8674772943381015]"
61,Superior Frontal Gyrus,L G_front_sup,Background,Background,GM Premotor cortex BA6 L,DORSOMEDIAL_PREFRONTAL_CORTEX_posterior,61,"[-0.9863351615962301, 39.39290429686602, 42.87909952506041]"
62,Postcentral Gyrus,L S_central,Background,Background,GM Primary motor cortex BA4p L,SOMATOMOTOR_NETWORK_lateral,62,"[-49.116863588206385, -14.844082821025722, 44.08312281944497]"
63,Background,L S_circular_insula_ant,Background,Anterior limb of internal capsule R,WM Inferior occipito-frontal fascicle L,CAUDATE,63,"[11.294924457788781, 13.307282050423424, 4.134898102174006]"
