,dimension,component,identified,overlap_against,label
60,1024,3,4,256,"Inferior frontal sulcus, RH"
61,1024,3,101,256,Internal capsule anterior horn RH
62,1024,3,232,256,Pars opercularis
63,1024,3,192,256,Middle frontal gyrus posterior RH
64,1024,3,171,256,"Precentral sulcus, inferior, LH"
65,1024,3,439,512,Precentral sulcus inferior RH
66,1024,3,126,512,Cingulum anterior
67,1024,3,313,512,Corticospinal tract middle RH
68,1024,3,290,512,Precentral sulcus mid-inferior RH
69,1024,3,133,512,Inferior frontal sulcus posterior LH
70,1024,3,408,1024,Inferior frontal sulcus posterior medial RH
71,1024,3,5,1024,Precentral sulcus mid-inferior RH
72,1024,3,57,1024,Arcuate fasciculus anterior RH
73,1024,3,465,1024,Superior longitudinal fasciculus III anterior RH
74,1024,3,778,1024,Inferior frontal sulcus posterior RH
75,1024,4,51,64,Middle frontal gyrus
76,1024,4,39,64,Dorsomedial Prefrontal cortex antero-caudal
77,1024,4,52,64,Inferior frontal gyrus
78,1024,4,49,64,Inferior frontal sulcus
79,1024,4,1,64,Superior frontal sulcus
80,1024,4,4,128,"Frontal pole lateral, RH"
81,1024,4,2,128,Middle frontal gyrus anterior
82,1024,4,106,128,"Middle frontal gyrus, RH"
83,1024,4,14,128,Lateral frontal pole
84,1024,4,53,128,Inferior frontal sulcus RH
85,1024,4,2,256,"Middle frontal gyrus anterior, RH"
86,1024,4,175,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
87,1024,4,79,256,"Frontal pole lateral, RH"
88,1024,4,214,256,Middle frontal gyrus anterior
89,1024,4,144,256,Inferior frontal sulcus RH
90,1024,4,115,512,Middle frontal gyrus anterior RH
91,1024,4,205,512,Middle frontal gyrus anterior lateral RH
92,1024,4,48,512,Middle frontal gyrus mid-anterior LH
93,1024,4,44,512,Frontal pole superior RH
94,1024,4,441,512,Middle frontal gyrus anterior medial RH
95,1024,4,66,1024,Middle frontal gyrus mid-anterior RH
96,1024,4,806,1024,Middle frontal gyrus mid-anterior superior RH
97,1024,4,254,1024,Middle frontal sulcus anterior RH
98,1024,4,776,1024,Middle frontal gyrus mid-anterior inferior RH
99,1024,4,934,1024,Frontal pole superior RH
100,1024,5,6,64,Antero-superior insula
101,1024,5,37,64,Supramarginal gyrus
102,1024,5,51,64,Middle frontal gyrus
103,1024,5,41,64,Postcentral gyrus inferior
104,1024,5,63,64,Central sulcus
105,1024,5,104,128,Inferior frontal sulcus posterior RH
106,1024,5,67,128,"Anterior insula, RH-dominated"
107,1024,5,112,128,Postcentral sulcus RH
108,1024,5,114,128,"Supramarginal gyrus anterior, RH"
109,1024,5,106,128,"Middle frontal gyrus, RH"
110,1024,5,232,256,Pars opercularis
111,1024,5,4,256,"Inferior frontal sulcus, RH"
112,1024,5,192,256,Middle frontal gyrus posterior RH
113,1024,5,202,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
114,1024,5,47,256,"Supramarginal gyrus anterior, RH"
115,1024,5,153,512,Inferior frontal sulcus posterior RH
116,1024,5,239,512,Pars triangularis RH
117,1024,5,49,512,Middle frontal gyrus posterior lateral RH
118,1024,5,290,512,Precentral sulcus mid-inferior RH
119,1024,5,184,512,Subcentral gyrus RH
120,1024,5,845,1024,Precentral sulcus inferior RH
121,1024,5,3,1024,Arcuate fasciculus mid-anterior RH
122,1024,5,778,1024,Inferior frontal sulcus posterior RH
123,1024,5,766,1024,Precentral gyrus inferior RH
124,1024,5,415,1024,Pars opercularis RH
125,1024,6,26,64,Mid-anterior Cingulate cortex
126,1024,6,19,64,Planum polare
127,1024,6,41,64,Postcentral gyrus inferior
128,1024,6,64,64,Caudate
129,1024,6,45,64,Heschl’s gyrus
130,1024,6,98,128,"Putamen, anterior"
131,1024,6,97,128,Thalamus and globus pallidus
132,1024,6,49,128,"Insula center, and lateral fissure"
133,1024,6,99,128,Posterior insula ventral
134,1024,6,64,128,"Lateral fissure, anterior"
135,1024,6,224,256,Putamen
136,1024,6,74,256,Insula
137,1024,6,190,256,Insula posterior inferior
138,1024,6,41,256,Thalamus
139,1024,6,206,256,Thalamus ventral
140,1024,6,510,512,Posterior insula ventral RH
141,1024,6,316,512,Putamen postero-inferior
142,1024,6,468,512,Putamen RH
143,1024,6,308,512,Globus pallidus
144,1024,6,332,512,Putamen anterior 
145,1024,6,69,1024,Putamen superior RH
146,1024,6,80,1024,Putamen posterior RH
147,1024,6,488,1024,Globus pallidus
148,1024,6,457,1024,Posterior insula RH
149,1024,6,890,1024,Putamen anterior
150,1024,7,26,64,Mid-anterior Cingulate cortex
151,1024,7,34,64,Precentral gyrus medial
152,1024,7,6,64,Antero-superior insula
153,1024,7,51,64,Middle frontal gyrus
154,1024,7,62,64,Superior frontal gyrus
155,1024,7,119,128,"Paracingulate gyrus, postero-superior"
156,1024,7,19,128,Mid-anterior cingulate cortex
157,1024,7,102,128,Paracingulate gyrus postero-inferior
158,1024,7,67,128,"Anterior insula, RH-dominated"
159,1024,7,76,128,"Precentral sulcus inferior, LH"
160,1024,7,40,256,"Paracingulate gyrus, posterior"
161,1024,7,17,256,"Medial frontal cortex, posterior"
162,1024,7,13,256,Mid-anterior cingulate cortex
163,1024,7,226,256,Anterior insula dorsal
164,1024,7,221,256,Precentral sulcus superior LH
165,1024,7,223,512,Cingulate sulcus middle
166,1024,7,355,512,Paracingulate sulcus posterior
167,1024,7,47,512,Paracingulate sulcus posterior RH
168,1024,7,90,512,Cingulate gyrus middle superior
169,1024,7,117,512,Dorsomedial prefrontal cortex posterior
170,1024,7,572,1024,Paracingulate gyrus mid-posterior LH
171,1024,7,526,1024,Paracingulate gyrus posterior RH
172,1024,7,848,1024,Paracingulate sulcus superior RH
173,1024,7,966,1024,Paracingulate sulcus posterior LH
174,1024,7,707,1024,Cingulate middle RH
175,1024,8,26,64,Mid-anterior Cingulate cortex
176,1024,8,19,64,Planum polare
177,1024,8,61,64,Middle temporal gyrus
178,1024,8,8,64,Planum temporale
179,1024,8,25,64,Putamen
180,1024,8,31,128,Parahippocampal gyrus
181,1024,8,99,128,Posterior insula ventral
182,1024,8,42,128,"Middle temporal gyrus, LH"
183,1024,8,80,128,Superior temporal sulcus LH
184,1024,8,57,128,Hippocampal fissure
185,1024,8,134,256,Middle temporal gyrus anterior RH
186,1024,8,10,256,"Collateral sulcus, anterior"
187,1024,8,164,256,Middle temporal gyrus anterior LH
188,1024,8,237,256,Occipitotemporal gyrus anterior
189,1024,8,190,256,Insula posterior inferior
190,1024,8,426,512,Temporal pole RH
191,1024,8,136,512,Temporal pole
192,1024,8,360,512,Middle temporal gyrus mid-anterior RH
193,1024,8,473,512,Anterior parts of occipitotemporal and collateral sulci LH
194,1024,8,292,512,Inferior temporal sulcus middle RH
195,1024,8,720,1024,Middle temporal gyrus anterior RH
196,1024,8,246,1024,Inferior temporal sulcus middle RH
197,1024,8,447,1024,Collateral sulcus anterior 
198,1024,8,53,1024,Temporal pole superior RH
199,1024,8,460,1024,Inferior temporal gyrus anterior RH
200,1024,9,64,64,Caudate
201,1024,9,25,64,Putamen
202,1024,9,21,64,Cerebellum I-V
203,1024,9,35,64,Lingual gyrus anterior
204,1024,9,47,64,Thalamus
205,1024,9,31,128,Parahippocampal gyrus
206,1024,9,100,128,Caudate ventral
207,1024,9,115,128,Cerebellum IV and middle cerebellar peduncle
208,1024,9,97,128,Thalamus and globus pallidus
209,1024,9,98,128,"Putamen, anterior"
210,1024,9,21,256,Amygdala
211,1024,9,217,256,Superior temporal gyrus anterior
212,1024,9,130,256,"Pons, superior"
213,1024,9,66,256,Caudate inferior
214,1024,9,132,256,"Insula, ventral anterior"
215,1024,9,120,512,Amygdala
216,1024,9,105,512,Amygdala inferior
217,1024,9,148,512,Pons antero-superior
218,1024,9,484,512,Midbrain inferior
219,1024,9,83,512,Hippocampus anterior
220,1024,9,425,1024,Amygdala anterior
221,1024,9,280,1024,Midbrain anterior
222,1024,9,378,1024,Mammillary bodies
223,1024,9,560,1024,Pons superior
224,1024,9,682,1024,Optic chiasm anterior
225,1024,10,3,64,Calcarine cortex posterior
226,1024,10,60,64,Cuneus
227,1024,10,55,64,Lingual gyrus
228,1024,10,35,64,Lingual gyrus anterior
229,1024,10,20,64,Central Parieto-occipital sulcus
230,1024,10,72,128,"Calcarine cortex, posterior"
231,1024,10,111,128,Intracalcarine cortex
232,1024,10,12,128,Lingual gyrus posterior
233,1024,10,75,128,Cuneus
234,1024,10,45,128,"Calcarine sulcus, anterior"
235,1024,10,119,256,Calcarine sulcus posterior
236,1024,10,139,256,Calcarine sulcus middle
237,1024,10,222,256,Calcarine sulcus anterior
238,1024,10,62,256,"Lingual gyrus, middle"
239,1024,10,85,256,Calcarine sulcus
240,1024,10,495,512,Lingual gyrus middle RH
241,1024,10,175,512,Cuneus posterior RH
242,1024,10,419,512,Calcarine sulcus posterior medial
243,1024,10,210,512,Calcarine sulcus middle
244,1024,10,107,512,Cuneus middle
245,1024,10,94,1024,Supracalcarine cortex RH
246,1024,10,833,1024,Calcarine sulcus mid-anterior
247,1024,10,323,1024,Calcarine cortex posterior RH
248,1024,10,605,1024,Cuneus inferior RH
249,1024,10,81,1024,Intracalcarine cortex
250,1024,11,51,64,Middle frontal gyrus
251,1024,11,62,64,Superior frontal gyrus
252,1024,11,36,64,Angular gyrus
253,1024,11,58,64,Middle frontal gyrus anterior
254,1024,11,40,64,Precentral gyrus superior
255,1024,11,106,128,"Middle frontal gyrus, RH"
256,1024,11,101,128,"Superior frontal sulcus anterior, LH"
257,1024,11,36,128,"Superior frontal gyrus, posterior"
258,1024,11,30,128,Cerebrospinal fluid (between anterior part of superior frontal gyrus and skull)
259,1024,11,90,128,"Superior frontal sulcus, anterior"
260,1024,11,245,256,Cerebrospinal fluid (between middle frontal gyrus RH and skull)
261,1024,11,54,256,"Superior frontal sulcus anterior, RH"
262,1024,11,67,256,Middle frontal gyrus posterior RH
263,1024,11,76,256,Superior frontal gyrus posterior
264,1024,11,82,256,Cerebrospinal fluid (between superior frontal gyrus and skull)
265,1024,11,312,512,Superior frontal gyrus middle RH
266,1024,11,188,512,Cerebrospinal fluid (between superior frontal gyrus lateral RH and skull)
267,1024,11,43,512,Superior frontal gyrus superior RH
268,1024,11,307,512,Superior frontal sulcus middle
269,1024,11,4,512,Middle frontal gyrus middle RH
270,1024,11,286,1024,Superior frontal sulcus mid-anterior RH
271,1024,11,1015,1024,Superior frontal sulcus middle RH
272,1024,11,586,1024,Superior longitudinal fasciculus I anterior RH
273,1024,11,87,1024,Cerebrospinal fluid (between middle frontal gyrus and skull)
274,1024,11,556,1024,Superior frontal sulcus anterior RH
275,1024,12,32,64,Intraparietal sulcus
276,1024,12,27,64,Superior parietal lobule posterior
277,1024,12,18,64,Precuneus superior
278,1024,12,56,64,Superior occipital sulcus
279,1024,12,36,64,Angular gyrus
280,1024,12,66,128,Cerebrospinal fluid (between Parieto-occipital sulcus and skull)
281,1024,12,86,128,Cerebrospinal fluid (between parietal lobe and skull)
282,1024,12,77,128,Superior parietal sulcus
283,1024,12,50,128,"Superior parietal lobule, posterior"
284,1024,12,16,128,Precuneus superior
285,1024,12,145,256,"Angular gyrus superior, LH"
286,1024,12,106,256,"Intraparietal sulcus posterior, LH"
287,1024,12,208,256,Superior parietal lobule superior
288,1024,12,215,256,Superior parietal lobule
289,1024,12,166,256,Angular gyrus superior
290,1024,12,75,512,Superior occipital sulcus superior LH
291,1024,12,350,512,Superior parietal lobule posterior
292,1024,12,276,512,Superior parietal lobule postero-superior LH
293,1024,12,154,512,Cerebrospinal fluid (between angular gyrus and skull LH)
294,1024,12,463,512,Intraparietal sulcus posterior LH
295,1024,12,998,1024,Superior parietal lobule posterior LH
296,1024,12,771,1024,Angular gyrus posterior LH
297,1024,12,810,1024,Superior parietal lobule postero-superior LH
298,1024,12,189,1024,Superior parietal lobule mid-posterior LH
299,1024,12,88,1024,Cerebrospinal fluid (between superior parietal lobule and skull)
300,1024,13,57,64,Superior parietal lobule
301,1024,13,33,64,Superior parietal lobule anterior
302,1024,13,32,64,Intraparietal sulcus
303,1024,13,38,64,Intraparietal sulcus LH
304,1024,13,10,64,Superior parts of Postcentral and Precentral gyri
305,1024,13,86,128,Cerebrospinal fluid (between parietal lobe and skull)
306,1024,13,89,128,"Superior parietal lobule, anterior"
307,1024,13,7,128,"Intraparietal sulcus posterior, LH"
308,1024,13,50,128,"Superior parietal lobule, posterior"
309,1024,13,56,128,"Intraparietal sulcus anterior, LH"
310,1024,13,106,256,"Intraparietal sulcus posterior, LH"
311,1024,13,19,256,Superior parietal lobule
312,1024,13,27,256,"Intraparietal sulcus, anterior"
313,1024,13,189,256,Superior parietal lobule anterior
314,1024,13,11,256,Cerebrospinal fluid (between intraparietal sulcus and skull)
315,1024,13,242,512,Superior parietal sulcus LH
316,1024,13,144,512,Intraparietal sulcus middle LH
317,1024,13,163,512,Superior longitudinal fasciculus I posterior LH
318,1024,13,50,512,Intraparietal sulcus superior LH
319,1024,13,494,512,Superior parietal lobule superior
320,1024,13,88,1024,Cerebrospinal fluid (between superior parietal lobule and skull)
321,1024,13,998,1024,Superior parietal lobule posterior LH
322,1024,13,448,1024,Superior parietal sulcus middle LH
323,1024,13,878,1024,Superior parietal sulcus mid-inferior LH
324,1024,13,618,1024,Superior parietal sulcus superior LH
325,1024,14,12,64,Paracentral gyrus RH
326,1024,14,50,64,Postcentral gyrus LH
327,1024,14,10,64,Superior parts of Postcentral and Precentral gyri
328,1024,14,40,64,Precentral gyrus superior
329,1024,14,41,64,Postcentral gyrus inferior
330,1024,14,18,128,Postcentral gyrus RH
331,1024,14,43,128,"Postcentral gyrus superior, LH"
332,1024,14,20,128,Cerebrospinal fluid (superior of Central sulcus)
333,1024,14,83,128,"Precentral sulcus, superior"
334,1024,14,74,128,"Postcentral sulcus, superior"
335,1024,14,51,256,"Central sulcus superior, RH"
336,1024,14,243,256,Postcentral sulcus middle RH
337,1024,14,150,256,Cerebrospinal fluid (between precentral gyrus and skull)
338,1024,14,115,256,Superior parts of central and postcentral sulci LH
339,1024,14,23,256,Postcentral gyrus LH
340,1024,14,41,512,Central sulcus middle RH
341,1024,14,306,512,Central sulcus middle LH
342,1024,14,213,512,Precentral sulcus mid-superior RH
343,1024,14,382,512,Cerebrospinal fluid (between central sulcus and skull RH)
344,1024,14,273,512,Central sulcus mid-superior RH
345,1024,14,936,1024,Central sulcus middle RH
346,1024,14,376,1024,Precentral gyrus mid-inferior RH
347,1024,14,100,1024,Central sulcus inferior
348,1024,14,636,1024,Postcentral gyrus middle RH
349,1024,14,661,1024,Cerebrospinal fluid (between precentral gyrus superior and skull RH)
350,1024,15,43,64,Callosomarginal sulcus
351,1024,15,28,64,Paracentral lobule
352,1024,15,18,64,Precuneus superior
353,1024,15,10,64,Superior parts of Postcentral and Precentral gyri
354,1024,15,12,64,Paracentral gyrus RH
355,1024,15,89,128,"Superior parietal lobule, anterior"
356,1024,15,5,128,Superior precentral and postcentral sulci
357,1024,15,60,128,Paracentral lobule
358,1024,15,59,128,Inferior callosomarginal sulcus
359,1024,15,125,128,"Postcentral gyrus, middle"
360,1024,15,189,256,Superior parietal lobule anterior
361,1024,15,46,256,"Postcentral sulcus superior, RH"
362,1024,15,137,256,Paracentral lobule posterior
363,1024,15,65,256,Precuneus anterior
364,1024,15,19,256,Superior parietal lobule
365,1024,15,318,512,Superior parietal sulcus RH
366,1024,15,436,512,Precuneus antero-superior
367,1024,15,502,512,Central sulcus mid-superior 
368,1024,15,258,512,Superior parietal lobule LH
369,1024,15,297,512,Postcentral sulcus superior
370,1024,15,124,1024,Callosomarginal sulcus superior RH
371,1024,15,847,1024,Postcentral gyrus superior RH
372,1024,15,750,1024,Superior parietal sulcus superior RH
373,1024,15,331,1024,Superior parietal lobule anterior RH
374,1024,15,701,1024,Postcentral sulcus mid-superior RH
375,1024,16,19,64,Planum polare
376,1024,16,41,64,Postcentral gyrus inferior
377,1024,16,45,64,Heschl’s gyrus
378,1024,16,26,64,Mid-anterior Cingulate cortex
379,1024,16,37,64,Supramarginal gyrus
380,1024,16,15,128,Precentral gyrus inferior
381,1024,16,49,128,"Insula center, and lateral fissure"
382,1024,16,68,128,Planum temporale RH
383,1024,16,109,128,Central operculum cortex
384,1024,16,64,128,"Lateral fissure, anterior"
385,1024,16,204,256,Planum temporale RH
386,1024,16,70,256,Parietal operculum
387,1024,16,83,256,Central sulcus inferior
388,1024,16,255,256,Parietal operculum RH
389,1024,16,86,256,Heschl’s gyrus
390,1024,16,405,512,Lateral fissure posterior limb RH
391,1024,16,252,512,Superior temporal gyrus superior RH
392,1024,16,184,512,Subcentral gyrus RH
393,1024,16,309,512,Central sulcus inferior RH
394,1024,16,402,512,Superior temporal gyrus middle LH
395,1024,16,539,1024,Heschl’s gyrus anterior lateral RH
396,1024,16,45,1024,Heschl’s gyrus posterior RH
397,1024,16,295,1024,Central operculum RH
398,1024,16,997,1024,Subcentral gyrus posterior RH
399,1024,16,257,1024,Heschl’s gyrus middle RH
400,1024,17,52,64,Inferior frontal gyrus
401,1024,17,58,64,Middle frontal gyrus anterior
402,1024,17,30,64,Superior rostral gyrus
403,1024,17,39,64,Dorsomedial Prefrontal cortex antero-caudal
404,1024,17,6,64,Antero-superior insula
405,1024,17,14,128,Lateral frontal pole
406,1024,17,117,128,"Ventromedial prefrontal cortex, anterior"
407,1024,17,93,128,Cerebrospinal fluid (between middle frontal gyrus and skull)
408,1024,17,44,128,"Inferior parietal lobule, LH"
409,1024,17,10,128,Ventral medial prefrontal cortex
410,1024,17,104,256,Frontal pole
411,1024,17,92,256,Frontomarginal gyrus
412,1024,17,185,256,Frontal pole lateral LH
413,1024,17,202,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
414,1024,17,141,256,Inferior frontal gyrus anterior LH
415,1024,17,157,512,Frontal pole lateral RH
416,1024,17,371,512,Inferior frontal sulcus anterior RH
417,1024,17,455,512,Frontomarginal sulcus
418,1024,17,445,512,Forceps minor RH
419,1024,17,32,512,Superior frontal sulcus anterior RH
420,1024,17,195,1024,Frontomarginal gyrus RH
421,1024,17,656,1024,Frontal pole RH
422,1024,17,355,1024,Frontomarginal sulcus RH
423,1024,17,683,1024,Anterior orbital gyrus RH
424,1024,17,366,1024,Ventrolateral prefrontal cortex RH
425,1024,18,33,64,Superior parietal lobule anterior
426,1024,18,38,64,Intraparietal sulcus LH
427,1024,18,10,64,Superior parts of Postcentral and Precentral gyri
428,1024,18,27,64,Superior parietal lobule posterior
429,1024,18,57,64,Superior parietal lobule
430,1024,18,48,128,"Postcentral sulcus inferior, LH"
431,1024,18,43,128,"Postcentral gyrus superior, LH"
432,1024,18,56,128,"Intraparietal sulcus anterior, LH"
433,1024,18,89,128,"Superior parietal lobule, anterior"
434,1024,18,125,128,"Postcentral gyrus, middle"
435,1024,18,115,256,Superior parts of central and postcentral sulci LH
436,1024,18,42,256,"Postcentral sulcus, inferior"
437,1024,18,27,256,"Intraparietal sulcus, anterior"
438,1024,18,46,256,"Postcentral sulcus superior, RH"
439,1024,18,23,256,Postcentral gyrus LH
440,1024,18,35,512,Intraparietal sulcus anterior LH
441,1024,18,45,512,Postcentral sulcus LH
442,1024,18,412,512,Superior parts of central and postcentral sulci LH
443,1024,18,97,512,Postcentral gyrus middle LH
444,1024,18,242,512,Superior parietal sulcus LH
445,1024,18,154,1024,Central sulcus and postcentral sulcus superior
446,1024,18,866,1024,Intraparietal sulcus mid-anterior LH
447,1024,18,811,1024,Superior parietal sulcus inferior LH
448,1024,18,915,1024,Postcentral gyrus middle posterior LH
449,1024,18,756,1024,Postcentral sulcus superior LH
450,1024,19,55,64,Lingual gyrus
451,1024,19,24,64,Descending occipital gyrus
452,1024,19,16,64,Posterior fusiform gyrus
453,1024,19,31,64,Calcarine sulcus anterior
454,1024,19,35,64,Lingual gyrus anterior
455,1024,19,41,128,Anterior fusiform gyrus
456,1024,19,65,128,Ventrolateral fusiform gyrus
457,1024,19,120,128,Fusiform gyrus
458,1024,19,13,128,"Lateral occipital cortex, superior"
459,1024,19,88,128,Lunate sulcus
460,1024,19,203,256,Fusiform gyrus RH
461,1024,19,35,256,"Occipitotemporal sulcus posterior, RH"
462,1024,19,85,256,Calcarine sulcus
463,1024,19,113,256,Lateral occipital cortex anterior
464,1024,19,220,256,Occipital horn of lateral ventricles
465,1024,19,78,512,Anterior occipital sulcus RH
466,1024,19,227,512,Collateral sulcus posterior RH
467,1024,19,472,512,Optic radiation RH
468,1024,19,180,512,Fusiform gyrus anterior RH
469,1024,19,222,512,Inferior longitudinal fasciculus
470,1024,19,591,1024,Occipitotemporal sulcus posterior RH
471,1024,19,858,1024,Anterior occipital sulcus posterior RH
472,1024,19,646,1024,Lateral occipital sulcus mid-anterior RH
473,1024,19,345,1024,Temporal horn of lateral ventricle RH
474,1024,19,937,1024,Collateral sulcus posterior RH
475,1024,20,5,64,Dorsal Parieto-occipital sulcus
476,1024,20,20,64,Central Parieto-occipital sulcus
477,1024,20,4,64,Posterior Cingulate cortex
478,1024,20,56,64,Superior occipital sulcus
479,1024,20,35,64,Lingual gyrus anterior
480,1024,20,61,128,Parieto-occipital sulcus anterior
481,1024,20,8,128,Parieto-occipital sulcus central
482,1024,20,17,128,Parieto-occipital sulcus postero-superior
483,1024,20,52,128,Inferior precuneus
484,1024,20,73,128,Superior occipital sulcus
485,1024,20,24,256,"Parieto-occipital sulcus, superior"
486,1024,20,151,256,"Parieto-occipital sulcus, anterior"
487,1024,20,218,256,Precuneus inferior
488,1024,20,6,256,"Cuneus, anterior"
489,1024,20,247,256,"Superior longitudinal fasciculus I posterior, RH"
490,1024,20,326,512,Parieto-occipital sulcus mid-anterior RH
491,1024,20,331,512,Parieto-occipital sulcus middle
492,1024,20,91,512,Parieto-occipital sulcus anterior
493,1024,20,216,512,Precuneus postero-inferior RH
494,1024,20,301,512,Parieto-occipital sulcus middle inferior LH
495,1024,20,939,1024,Parieto-occipital sulcus anterior LH
496,1024,20,865,1024,Precuneus postero-inferior LH
497,1024,20,159,1024,Parieto-occipital sulcus middle RH
498,1024,20,243,1024,Parieto-occipital sulcus mid-anterior LH
499,1024,20,1020,1024,Parieto-occipital sulcus anterior RH
500,1024,21,45,64,Heschl’s gyrus
501,1024,21,8,64,Planum temporale
502,1024,21,38,64,Intraparietal sulcus LH
503,1024,21,50,64,Postcentral gyrus LH
504,1024,21,59,64,Angular gyrus
505,1024,21,54,128,Planum temporale LH
506,1024,21,49,128,"Insula center, and lateral fissure"
507,1024,21,109,128,Central operculum cortex
508,1024,21,48,128,"Postcentral sulcus inferior, LH"
509,1024,21,56,128,"Intraparietal sulcus anterior, LH"
510,1024,21,73,256,Supramarginal gyrus
511,1024,21,22,256,"Supramarginal gyrus, LH"
512,1024,21,250,256,Superior longitudinal fasciculus II LH
513,1024,21,255,256,Parietal operculum RH
514,1024,21,191,256,Central opercular cortex
515,1024,21,196,512,Angular gyrus anterior LH
516,1024,21,295,512,Parietal operculum LH
517,1024,21,193,512,Supramarginal gyrus inferior LH
518,1024,21,323,512,Superior longitudinal fasciculus II posterior LH
519,1024,21,409,512,Supramarginal gyrus antero-inferior LH
520,1024,21,340,1024,Lateral fissure posterior LH
521,1024,21,854,1024,Supramarginal gyrus postero-inferior LH
522,1024,21,279,1024,Supramarginal gyrus antero-inferior LH
523,1024,21,242,1024,Supramarginal gyrus perisylvian LH
524,1024,21,198,1024,Superior longitudinal fasciculus III mid-posterior LH
525,1024,22,12,64,Paracentral gyrus RH
526,1024,22,33,64,Superior parietal lobule anterior
527,1024,22,28,64,Paracentral lobule
528,1024,22,63,64,Central sulcus
529,1024,22,34,64,Precentral gyrus medial
530,1024,22,5,128,Superior precentral and postcentral sulci
531,1024,22,18,128,Postcentral gyrus RH
532,1024,22,112,128,Postcentral sulcus RH
533,1024,22,105,128,"Cingulate sulcus, posterior"
534,1024,22,38,128,Superior precentral and postcentral gyri [same as 5]
535,1024,22,123,256,Callosomarginal sulcus
536,1024,22,19,256,Superior parietal lobule
537,1024,22,46,256,"Postcentral sulcus superior, RH"
538,1024,22,252,256,Callosomarginal sulcus inferior
539,1024,22,87,256,Superior parts of central and postcentral sulci
540,1024,22,396,512,Superior longitudinal fasciculus I posterior
541,1024,22,273,512,Central sulcus mid-superior RH
542,1024,22,206,512,Postcentral sulcus superior RH
543,1024,22,89,512,Corticospinal tract superior
544,1024,22,499,512,Callosomarginal sulcus inferior
545,1024,22,775,1024,Callosomarginal sulcus inferior RH
546,1024,22,697,1024,Central sulcus mid-superior RH
547,1024,22,599,1024,Superior longitudinal fasciculus I middle RH
548,1024,22,782,1024,Precuneus antero-inferior RH
549,1024,22,727,1024,Central sulcus middle medial RH
550,1024,23,11,64,Transverse sinus
