,dimension,component,identified,overlap_against,label
190,256,8,150,512,Occipital pole superior LH
191,256,8,172,512,Superior occipital gyrus LH
192,256,8,2,512,Superior occipital gyrus 
193,256,8,134,512,Lateral occipital cortex posterior LH
194,256,8,446,512,Forceps major
195,256,8,611,1024,Lunate sulcus superior LH
196,256,8,338,1024,Superior occipital sulcus posterior LH
197,256,8,608,1024,Lateral occipital cortex posterior LH
198,256,8,573,1024,Superior occipital gyrus inferior LH
199,256,8,288,1024,Descending occipital gyrus superior
200,256,9,46,64,Occipital pole
201,256,9,29,64,Inferior occipital gyrus
202,256,9,11,64,Transverse sinus
203,256,9,13,64,Superior occipital gyrus
204,256,9,60,64,Cuneus
205,256,9,72,128,"Calcarine cortex, posterior"
206,256,9,39,128,Cerebrospinal fluid (between occipital pole and cerebellum)
207,256,9,47,128,Inferior occipital sulcus
208,256,9,103,128,"Occipital pole, superior"
209,256,9,75,128,Cuneus
210,256,9,119,256,Calcarine sulcus posterior
211,256,9,107,256,Occipital pole
212,256,9,78,256,Mid-posterior lingual gyrus
213,256,9,159,256,Inferior occipital sulcus
214,256,9,25,256,"Occipital pole, inferior"
215,256,9,419,512,Calcarine sulcus posterior medial
216,256,9,5,512,Calcarine cortex posterior LH
217,256,9,52,512,Lingual gyrus posterior
218,256,9,286,512,Occipital pole inferior
219,256,9,498,512,Inferior occipital gyrus posterior RH
220,256,9,383,1024,Occipital pole medial RH
221,256,9,742,1024,Retrocalcarine sulcus LH
222,256,9,839,1024,Retrocalcarine cortex LH
223,256,9,1022,1024,Cuneus postero-inferior LH
224,256,9,342,1024,Occipital pole inferior medial RH
225,256,10,61,64,Middle temporal gyrus
226,256,10,26,64,Mid-anterior Cingulate cortex
227,256,10,19,64,Planum polare
228,256,10,8,64,Planum temporale
229,256,10,25,64,Putamen
230,256,10,31,128,Parahippocampal gyrus
231,256,10,42,128,"Middle temporal gyrus, LH"
232,256,10,99,128,Posterior insula ventral
233,256,10,87,128,Internal capsule
234,256,10,57,128,Hippocampal fissure
235,256,10,237,256,Occipitotemporal gyrus anterior
236,256,10,21,256,Amygdala
237,256,10,134,256,Middle temporal gyrus anterior RH
238,256,10,164,256,Middle temporal gyrus anterior LH
239,256,10,225,256,Middle temporal gyrus middle RH
240,256,10,178,512,Middle temporal gyrus medial LH
241,256,10,473,512,Anterior parts of occipitotemporal and collateral sulci LH
242,256,10,292,512,Inferior temporal sulcus middle RH
243,256,10,215,512,Superior temporal gyrus medial anterior RH
244,256,10,106,512,Perirhinal cortex
245,256,10,659,1024,Inferior temporal sulcus anterior LH
246,256,10,795,1024,Occipitotemporal sulcus anterior RH
247,256,10,447,1024,Collateral sulcus anterior 
248,256,10,246,1024,Inferior temporal sulcus middle RH
249,256,10,668,1024,Occipitotemporal sulcus middle LH
250,256,11,10,64,Superior parts of Postcentral and Precentral gyri
251,256,11,48,64,Intraparietal sulcus RH
252,256,11,33,64,Superior parietal lobule anterior
253,256,11,12,64,Paracentral gyrus RH
254,256,11,27,64,Superior parietal lobule posterior
255,256,11,125,128,"Postcentral gyrus, middle"
256,256,11,81,128,"Intraparietal sulcus anterior, RH"
257,256,11,77,128,Superior parietal sulcus
258,256,11,51,128,Cerebrospinal fluid (between superior part of superior frontal gyrus and skull)
259,256,11,112,128,Postcentral sulcus RH
260,256,11,208,256,Superior parietal lobule superior
261,256,11,29,256,"Angular gyrus superior, RH"
262,256,11,63,256,"Intraparietal sulcus dorsal, RH"
263,256,11,46,256,"Postcentral sulcus superior, RH"
264,256,11,27,256,"Intraparietal sulcus, anterior"
265,256,11,485,512,Postcentral gyrus middle RH
266,256,11,469,512,Cerebrospinal fluid (between superior parietal lobule and skull RH)
267,256,11,50,512,Intraparietal sulcus superior LH
268,256,11,214,512,Intraparietal sulcus anterior RH
269,256,11,444,512,Cerebrospinal fluid (between intraparietal sulcus and skull RH)
270,256,11,799,1024,Superior parietal lobule antero-inferior RH
271,256,11,755,1024,Superior parietal lobule antero-superior RH
272,256,11,988,1024,Superior parietal lobule RH
273,256,11,88,1024,Cerebrospinal fluid (between superior parietal lobule and skull)
274,256,11,547,1024,Cerebrospinal fluid (between postcentral gyrus and skull RH)
275,256,12,1,64,Superior frontal sulcus
276,256,12,62,64,Superior frontal gyrus
277,256,12,58,64,Middle frontal gyrus anterior
278,256,12,23,64,Anterior Cingulate Cortex
279,256,12,51,64,Middle frontal gyrus
280,256,12,58,128,"Dorsomedial prefrontal cortex, anteromedial"
281,256,12,101,128,"Superior frontal sulcus anterior, LH"
282,256,12,30,128,Cerebrospinal fluid (between anterior part of superior frontal gyrus and skull)
283,256,12,35,128,"Dorsomedial prefrontal cortex, anterocaudal"
284,256,12,93,128,Cerebrospinal fluid (between middle frontal gyrus and skull)
285,256,12,82,256,Cerebrospinal fluid (between superior frontal gyrus and skull)
286,256,12,214,256,Middle frontal gyrus anterior
287,256,12,61,256,Frontal pole
288,256,12,136,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
289,256,12,235,256,Dorsomedial prefrontal cortex anterior
290,256,12,174,512,Superior frontal gyrus anterior
291,256,12,24,512,Dorsomedial prefrontal cortex anterocaudal LH
292,256,12,267,512,Superior frontal gyrus middle LH
293,256,12,104,512,Dorsomedial prefrontal cortex LH
294,256,12,185,512,Superior frontal sulcus anterior LH
295,256,12,765,1024,Superior frontal gyrus anterior LH
296,256,12,631,1024,Superior frontal gyrus antero-superior
297,256,12,856,1024,Superior frontal sulcus anterior LH
298,256,12,699,1024,Superior frontal gyrus anterior
299,256,12,346,1024,Frontal pole medial LH
300,256,13,23,64,Anterior Cingulate Cortex
301,256,13,17,64,Superior frontal gyrus medial
302,256,13,34,64,Precentral gyrus medial
303,256,13,62,64,Superior frontal gyrus
304,256,13,43,64,Callosomarginal sulcus
305,256,13,105,128,"Cingulate sulcus, posterior"
306,256,13,69,128,Anterior cingulate cortex
307,256,13,102,128,Paracingulate gyrus postero-inferior
308,256,13,40,128,"Paracingulate gyrus, middle"
309,256,13,119,128,"Paracingulate gyrus, postero-superior"
310,256,13,40,256,"Paracingulate gyrus, posterior"
311,256,13,121,256,Dorsomedial prefrontal cortex
312,256,13,17,256,"Medial frontal cortex, posterior"
313,256,13,176,256,Anterior cingulate cortex
314,256,13,14,256,Mid-posterior cingulate cortex
315,256,13,90,512,Cingulate gyrus middle superior
316,256,13,223,512,Cingulate sulcus middle
317,256,13,30,512,Cingulate gyrus middle inferior
318,256,13,474,512,Cingulate sulcus mid-posterior 
319,256,13,256,512,Cingulum mid-anterior
320,256,13,869,1024,Paracingulate gyrus middle
321,256,13,204,1024,Cingulate cortex mid-anterior
322,256,13,104,1024,Cingulate sulcus mid-posterior
323,256,13,264,1024,Anterior cingulate cortex superior
324,256,13,602,1024,Cingulate mid-anterior
325,256,14,54,64,Precuneus superior
326,256,14,26,64,Mid-anterior Cingulate cortex
327,256,14,34,64,Precentral gyrus medial
328,256,14,23,64,Anterior Cingulate Cortex
329,256,14,14,64,Mid-posterior cingulate gyrus
330,256,14,105,128,"Cingulate sulcus, posterior"
331,256,14,63,128,"Posterior cingulate cortex, superior"
332,256,14,6,128,Lower posterior cingulate cortex
333,256,14,102,128,Paracingulate gyrus postero-inferior
334,256,14,92,128,Precuneus anterior
335,256,14,123,256,Callosomarginal sulcus
336,256,14,201,256,Cingulate sulcus posterior
337,256,14,252,256,Callosomarginal sulcus inferior
338,256,14,65,256,Precuneus anterior
339,256,14,188,256,Posterior cingulate cortex
340,256,14,389,512,Callosomarginal sulcus mid-inferior
341,256,14,152,512,Posterior cingulate cortex superior
342,256,14,102,512,Paracentral lobule inferior LH
343,256,14,336,512,Posterior cingulate cortex anterior
344,256,14,90,512,Cingulate gyrus middle superior
345,256,14,161,1024,Cingulate cortex mid-posterior
346,256,14,902,1024,Cingulate gyrus mid-posterior
347,256,14,598,1024,Paracentral lobule postero-inferior RH
348,256,14,398,1024,Cingulate sulcus posterior
349,256,14,349,1024,Callosomarginal sulcus middle LH
350,256,15,14,64,Mid-posterior cingulate gyrus
351,256,15,53,64,Parieto occipital sulcus anterior
352,256,15,5,64,Dorsal Parieto-occipital sulcus
353,256,15,22,64,Superior fornix and isthmus
354,256,15,54,64,Precuneus superior
355,256,15,33,128,Posterior cingulate cortex
356,256,15,63,128,"Posterior cingulate cortex, superior"
357,256,15,6,128,Lower posterior cingulate cortex
358,256,15,61,128,Parieto-occipital sulcus anterior
359,256,15,118,128,Parieto-occipital sulcus antero-superior
360,256,15,218,256,Precuneus inferior
361,256,15,178,256,Posterior cingulate
362,256,15,90,256,Dorsal posterior cingulate cortex
363,256,15,102,256,Ventral posterior cingulate cortex
364,256,15,188,256,Posterior cingulate cortex
365,256,15,432,512,Subparietal sulcus inferior LH
366,256,15,461,512,Precuneus inferior 
367,256,15,142,512,Posterior cingulate cortex LH
368,256,15,358,512,Subparietal sulcus RH
369,256,15,216,512,Precuneus postero-inferior RH
370,256,15,715,1024,Subparietal sulcus
371,256,15,634,1024,Precuneus inferior LH
372,256,15,867,1024,Subparietal sulcus inferior RH
373,256,15,390,1024,Posterior cingulate cortex postero-inferior
374,256,15,515,1024,Subparietal sulcus LH
375,256,16,6,64,Antero-superior insula
376,256,16,52,64,Inferior frontal gyrus
377,256,16,26,64,Mid-anterior Cingulate cortex
378,256,16,19,64,Planum polare
379,256,16,38,64,Intraparietal sulcus LH
380,256,16,42,128,"Middle temporal gyrus, LH"
381,256,16,32,128,"Inferior frontal gyrus anterior, LH"
382,256,16,107,128,Anterior insula
383,256,16,123,128,"Inferior frontal sulcus, LH"
384,256,16,64,128,"Lateral fissure, anterior"
385,256,16,148,256,Lateral fissure anterior
386,256,16,110,256,Insula anterior
387,256,16,236,256,Pars orbitalis RH
388,256,16,141,256,Inferior frontal gyrus anterior LH
389,256,16,94,256,"Inferior frontal sulcus anterior, LH"
390,256,16,21,512,Pars triangularis LH
391,256,16,27,512,Anterior vertical ramus of the lateral fissure LH
392,256,16,401,512,Pars opercularis LH
393,256,16,249,512,Lateral fissure anterior LH
394,256,16,79,512,Lateral fissure anterior
395,256,16,498,1024,Cerebrospinal fluid (between pars orbitalis and skull LH)
396,256,16,116,1024,Pars opercularis LH
397,256,16,772,1024,Anterior horizontal ramus of the Lateral fissure LH
398,256,16,494,1024,Pars triangularis inferior LH
399,256,16,334,1024,Pars triangularis LH
400,256,17,17,64,Superior frontal gyrus medial
401,256,17,26,64,Mid-anterior Cingulate cortex
402,256,17,44,64,Paracentral lobule superior
403,256,17,28,64,Paracentral lobule
404,256,17,40,64,Precentral gyrus superior
405,256,17,119,128,"Paracingulate gyrus, postero-superior"
406,256,17,19,128,Mid-anterior cingulate cortex
407,256,17,105,128,"Cingulate sulcus, posterior"
408,256,17,60,128,Paracentral lobule
409,256,17,38,128,Superior precentral and postcentral gyri [same as 5]
410,256,17,40,256,"Paracingulate gyrus, posterior"
411,256,17,201,256,Cingulate sulcus posterior
412,256,17,44,256,"Precentral sulcus, medial"
413,256,17,13,256,Mid-anterior cingulate cortex
414,256,17,221,256,Precentral sulcus superior LH
415,256,17,355,512,Paracingulate sulcus posterior
416,256,17,64,512,Paracingulate gyrus posterior LH
417,256,17,90,512,Cingulate gyrus middle superior
418,256,17,103,512,Precentral sulcus medial
419,256,17,420,512,Paracingulate sulcus posterior LH
420,256,17,541,1024,Superior frontal gyrus medial posterior
421,256,17,526,1024,Paracingulate gyrus posterior RH
422,256,17,104,1024,Cingulate sulcus mid-posterior
423,256,17,585,1024,Superior frontal gyrus medial mid-posterior LH
424,256,17,263,1024,Cingulate middle posterior RH
425,256,18,57,64,Superior parietal lobule
426,256,18,27,64,Superior parietal lobule posterior
427,256,18,32,64,Intraparietal sulcus
428,256,18,56,64,Superior occipital sulcus
429,256,18,13,64,Superior occipital gyrus
430,256,18,16,128,Precuneus superior
431,256,18,86,128,Cerebrospinal fluid (between parietal lobe and skull)
432,256,18,50,128,"Superior parietal lobule, posterior"
433,256,18,121,128,"Precuneus, posterior"
434,256,18,7,128,"Intraparietal sulcus posterior, LH"
435,256,18,215,256,Superior parietal lobule
436,256,18,52,256,Cerebrospinal fluid (between parietal lobe and skull)
437,256,18,216,256,Parieto-occipital sulcus superior
438,256,18,241,256,Precuneus posterior
439,256,18,208,256,Superior parietal lobule superior
440,256,18,395,512,Precuneus postero-superior 
441,256,18,350,512,Superior parietal lobule posterior
442,256,18,469,512,Cerebrospinal fluid (between superior parietal lobule and skull RH)
443,256,18,453,512,Superior occipital gyrus superior RH
444,256,18,276,512,Superior parietal lobule postero-superior LH
445,256,18,612,1024,Superior occipital gyrus superior
446,256,18,810,1024,Superior parietal lobule postero-superior LH
447,256,18,12,1024,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH)
448,256,18,52,1024,Superior parietal lobule postero-superior RH
449,256,18,211,1024,Precuneus postero-superior RH
450,256,19,27,64,Superior parietal lobule posterior
451,256,19,54,64,Precuneus superior
452,256,19,43,64,Callosomarginal sulcus
453,256,19,38,64,Intraparietal sulcus LH
454,256,19,50,64,Postcentral gyrus LH
455,256,19,92,128,Precuneus anterior
456,256,19,77,128,Superior parietal sulcus
457,256,19,50,128,"Superior parietal lobule, posterior"
458,256,19,59,128,Inferior callosomarginal sulcus
459,256,19,74,128,"Postcentral sulcus, superior"
460,256,19,189,256,Superior parietal lobule anterior
461,256,19,256,256,Precuneus superior
462,256,19,65,256,Precuneus anterior
463,256,19,106,256,"Intraparietal sulcus posterior, LH"
464,256,19,208,256,Superior parietal lobule superior
465,256,19,219,512,Superior parietal lobule medial RH
466,256,19,396,512,Superior longitudinal fasciculus I posterior
467,256,19,7,512,Superior occipital gyrus superior LH
468,256,19,211,512,Postcentral sulcus superior LH
469,256,19,131,512,Precuneus mid-superior LH
470,256,19,569,1024,Superior longitudinal fasciculus I mid-posterior LH
471,256,19,276,1024,Superior longitudinal fasciculus I posterior LH
472,256,19,194,1024,Superior longitudinal fasciculus I posterior RH
473,256,19,860,1024,Precuneus antero-superior LH
474,256,19,671,1024,Precuneus antero-superior
475,256,20,6,64,Antero-superior insula
476,256,20,26,64,Mid-anterior Cingulate cortex
477,256,20,45,64,Heschl’s gyrus
478,256,20,25,64,Putamen
479,256,20,61,64,Middle temporal gyrus
480,256,20,64,128,"Lateral fissure, anterior"
481,256,20,67,128,"Anterior insula, RH-dominated"
482,256,20,23,128,"Superior temporal gyrus, middle"
483,256,20,107,128,Anterior insula
484,256,20,32,128,"Inferior frontal gyrus anterior, LH"
485,256,20,148,256,Lateral fissure anterior
486,256,20,26,256,Superior temporal gyrus LH
487,256,20,226,256,Anterior insula dorsal
488,256,20,74,256,Insula
489,256,20,191,256,Central opercular cortex
490,256,20,249,512,Lateral fissure anterior LH
491,256,20,508,512,Superior temporal gyrus superior LH
492,256,20,470,512,Middle insula dorsal
493,256,20,116,512,Planum polare superior
494,256,20,322,512,Precentral sulcus inferior LH
495,256,20,41,1024,Central opercular cortex LH
496,256,20,916,1024,Pars opercularis inferior LH
497,256,20,578,1024,Central opercula
498,256,20,487,1024,Superior temporal gyrus middle superior LH
499,256,20,229,1024,Frontal opercula medial
500,256,21,53,64,Parieto occipital sulcus anterior
501,256,21,25,64,Putamen
502,256,21,64,64,Caudate
503,256,21,26,64,Mid-anterior Cingulate cortex
504,256,21,19,64,Planum polare
505,256,21,57,128,Hippocampal fissure
506,256,21,99,128,Posterior insula ventral
507,256,21,98,128,"Putamen, anterior"
508,256,21,26,128,Middle temporal gyrus RH
509,256,21,97,128,Thalamus and globus pallidus
510,256,21,237,256,Occipitotemporal gyrus anterior
511,256,21,125,256,Hippocampal fissure
512,256,21,132,256,"Insula, ventral anterior"
513,256,21,10,256,"Collateral sulcus, anterior"
514,256,21,168,256,Anterior hippocampus
515,256,21,83,512,Hippocampus anterior
516,256,21,343,512,Collateral sulcus anterior 
517,256,21,106,512,Perirhinal cortex
518,256,21,270,512,Hippocampus
519,256,21,120,512,Amygdala
520,256,21,877,1024,Hippocampus anterior LH
521,256,21,333,1024,Hippocampal gyrus RH
522,256,21,287,1024,Collateral sulcus anterior LH
523,256,21,823,1024,Occipitotemporal gyrus anterior LH
524,256,21,370,1024,Entorhinal cortex
525,256,22,38,64,Intraparietal sulcus LH
526,256,22,36,64,Angular gyrus
527,256,22,10,64,Superior parts of Postcentral and Precentral gyri
528,256,22,32,64,Intraparietal sulcus
529,256,22,50,64,Postcentral gyrus LH
530,256,22,56,128,"Intraparietal sulcus anterior, LH"
531,256,22,48,128,"Postcentral sulcus inferior, LH"
532,256,22,44,128,"Inferior parietal lobule, LH"
533,256,22,29,128,"Angular gyrus anterior, RH"
534,256,22,125,128,"Postcentral gyrus, middle"
535,256,22,227,256,Parietal operculum LH
536,256,22,177,256,Angular gyrus anterior LH
537,256,22,42,256,"Postcentral sulcus, inferior"
538,256,22,73,256,Supramarginal gyrus
539,256,22,251,256,"Supramarginal gyrus anterior, LH"
540,256,22,193,512,Supramarginal gyrus inferior LH
541,256,22,196,512,Angular gyrus anterior LH
542,256,22,361,512,Cerebrospinal fluid (between intraparietal sulcus and skull LH)
543,256,22,17,512,Supramarginal gyrus antero-superior LH
544,256,22,385,512,Intermediate primus of Jensen LH
545,256,22,700,1024,Supramarginal gyrus anterior LH
546,256,22,304,1024,Supramarginal gyrus antero-superior LH
547,256,22,884,1024,Supramarginal gyrus superior LH
548,256,22,854,1024,Supramarginal gyrus postero-inferior LH
549,256,22,945,1024,Supramarginal gyrus postero-superior LH
550,256,23,63,64,Central sulcus
551,256,23,33,64,Superior parietal lobule anterior
552,256,23,10,64,Superior parts of Postcentral and Precentral gyri
553,256,23,28,64,Paracentral lobule
554,256,23,34,64,Precentral gyrus medial
555,256,23,84,128,Precentral gyrus superior
556,256,23,74,128,"Postcentral sulcus, superior"
557,256,23,38,128,Superior precentral and postcentral gyri [same as 5]
558,256,23,20,128,Cerebrospinal fluid (superior of Central sulcus)
559,256,23,89,128,"Superior parietal lobule, anterior"
560,256,23,115,256,Superior parts of central and postcentral sulci LH
561,256,23,100,256,Central sulcus middle
562,256,23,246,256,Cerebrospinal fluid (between precentral and postcentral gyri LH and skull)
563,256,23,30,256,"Postcentral sulcus superior, LH"
564,256,23,87,256,Superior parts of central and postcentral sulci
