,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
10,Background,Background,Background,Cerebral peduncle R,GM Mamillary body,THALAMUS_ventral,Background,Background,10,"[-0.06094169925285087, -19.554279139565708, -3.8989400199893964]"
11,Temporal Occipital Fusiform Cortex,R S_oc-temp_lat,Right VI,Posterior thalamic radiation (include optic radiation) L,WM Optic radiation R,OCCIPITOTEMPORAL_GYRUS_lateral,VisCent,DorsAttnA,11,"[44.62285520630235, -45.68112938866331, -19.996925268613595]"
12,Insular Cortex,R S_circular_insula_sup,Background,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) L,GM Insula Ig1 L,POSTERIOR_INSULA_dorsal,SomMotA,SomMotB,12,"[35.15462594883431, -10.742366814630714, 10.830467633550313]"
13,Background,Background,Right VI,Unclassified,Background,CEREBELLUM_VI_anterior,Background,Background,13,"[28.829501782557827, -50.9522802403132, -33.730296439562366]"
14,Temporal Occipital Fusiform Cortex,L G_oc-temp_lat-fusifor,Left VI,Background,Background,OCCIPITOTEMPORAL_GYRUS_lateral,VisCent,DorsAttnA,14,"[-33.84378644364168, -47.545957131026384, -22.144118182412257]"
15,Background,Background,Right Crus I,Unclassified,Background,right_CEREBELLUM_CRUSII_anterior,Background,Background,15,"[41.142575168650865, -56.133247292385875, -38.203714340493434]"
16,"Supramarginal Gyrus, anterior division",L G_pariet_inf-Supramar,Background,Background,GM Anterior intra-parietal sulcus hIP2 L,right_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,16,"[-53.64945615747157, -33.113391441161184, 44.237335380954335]"
17,Angular Gyrus,L S_interm_prim-Jensen,Background,Background,GM Inferior parietal lobule PFm L,left_INFERIOR_PARIETAL_LOBULE,DefaultB,DefaultB,17,"[-54.05442839961481, -55.36885727463684, 34.72496907763855]"
18,Paracingulate Gyrus,L G_and_S_cingul-Mid-Ant,Background,Background,GM Premotor cortex BA6 L,DORSOMEDIAL_PREFRONTAL_CORTEX_posterior,ContA,SalVentAttnB,18,"[-8.818756687869993, 22.744371489909724, 44.34175029210569]"
19,Superior Frontal Gyrus,L G_front_sup,Background,Background,GM Premotor cortex BA6 L,PRE_SUPPLEMENTARY_MOTOR_CORTEX_posterior,SalVentAttnA,SomMotA,19,"[-14.515356797271124, -6.554829077366364, 71.19417788449286]"
20,"Inferior Frontal Gyrus, pars triangularis",L G_front_inf-Triangul,Background,Background,GM Broca's area BA45 L,left_VENTROLATERAL_PREFRONTAL_CORTEX,DefaultB,DefaultB,20,"[-57.832492355156496, 26.489826584228666, 5.304497022754106]"
21,Background,Background,Background,Posterior corona radiata R,WM Superior longitudinal fascicle L,Background,Background,Background,21,"[-25.4745623980334, -24.150605517485047, 31.79005538717726]"
22,Background,Background,Background,Superior corona radiata R,WM Callosal body,left_MIDDLE_FRONTAL_GYRUS_posterorostral,Background,Background,22,"[-22.25689949772982, 11.960757193399814, 30.120980063973946]"
23,Frontal Pole,L G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal,DefaultB,DefaultB,23,"[-6.226617868277515, 59.043086159020106, 25.13391481221018]"
24,Central Opercular Cortex,L S_circular_insula_sup,Background,Superior longitudinal fasciculus R,GM Secondary somatosensory cortex / Parietal operculum OP3 L,POSTERIOR_INSULA_dorsal,Background,Background,24,"[-35.895652264702946, -9.21343493954707, 23.76169451272645]"
25,Intracalcarine Cortex,R S_calcarine,Background,Background,GM Visual cortex V1 BA17 R,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,25,"[13.648288719392482, -74.62491168345979, 11.411848244935598]"
26,"Inferior Frontal Gyrus, pars opercularis",L Lat_Fis-ant-Vertical,Background,Background,GM Broca's area BA44 L,left_VENTROLATERAL_PREFRONTAL_CORTEX,DefaultB,DefaultB,26,"[-50.51813005908357, 20.33235515620632, 7.999875191639418]"
27,Background,Background,Background,Genu of corpus callosum,WM Callosal body,POSTERIOR_CINGULATE_CORTEX,Background,Background,27,"[-16.833602909132452, -28.96584524358937, 25.44666682319358]"
28,Background,R S_circular_insula_inf,Background,Posterior limb of internal capsule L,GM Hippocampus dentate gyrus R,THALAMUS_ventral,Background,Background,28,"[25.16925875227919, -26.104152630783688, 3.278123243280092]"
29,"Cingulate Gyrus, anterior division",L S_pericallosal,Background,Genu of corpus callosum,WM Cingulum L,POSTERIOR_CINGULATE_CORTEX,ContA,ContC,29,"[0.32539097676104234, -2.2523788545768753, 30.444915860904104]"
30,Background,Background,Background,Cerebral peduncle L,WM Superior occipito-frontal fascicle L,CAUDATE,Background,Background,30,"[14.29702021124595, 4.007230694106539, 14.05220153855474]"
31,Frontal Pole,R S_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,ContA,ContB,31,"[25.344800698882523, 53.9388653219072, 12.301868329822398]"
32,Frontal Orbital Cortex,R G_front_inf-Orbital,Background,Background,GM Broca's area BA45 R,right_VENTROLATERAL_PREFRONTAL_CORTEX,DefaultB,DefaultB,32,"[49.20576306082364, 36.88349283617265, -10.866320318973692]"
33,Background,Background,Vermis Crus II,Background,Background,CEREBELLUM_VI_posterior,Background,Background,33,"[-0.2953951332825966, -72.64767993250246, -34.29655258328478]"
34,Superior Parietal Lobule,L G_postcentral,Background,Background,GM Primary somatosensory cortex BA2 L,right_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,34,"[-44.86503483682301, -40.83299357964955, 55.8242595767085]"
35,Background,R S_intrapariet_and_P_trans,Background,Superior corona radiata L,GM Anterior intra-parietal sulcus hIP1 R,right_DORSAL_VISUAL_STREAM_ventral,Background,Background,35,"[22.63551364317881, -50.5293389803561, 36.424899730216055]"
36,Background,Background,Background,Superior corona radiata L,WM Superior longitudinal fascicle R,left_POSTCENTRAL_SULCUS,Background,Background,36,"[26.319346158853662, -24.62354998599551, 34.49933199958559]"
37,Angular Gyrus,R S_temporal_sup,Background,Background,GM Inferior parietal lobule PGp R,right_ANGULAR_GYRUS,DefaultB,DefaultC,37,"[46.54434862445598, -59.530985602006766, 24.409010037815577]"
38,Frontal Pole,Background,Background,Background,Background,left_MIDDLE_FRONTAL_GYRUS_anterior,DefaultB,DefaultB,38,"[18.097146143295078, 59.001925459900804, 35.93562679022395]"
39,"Parahippocampal Gyrus, posterior division",L G_oc-temp_med-Parahip,Right I-IV,Unclassified,GM Hippocampus entorhinal cortex L,CEREBELLUM_I-V,LimbicA,DefaultC,39,"[-18.81257081564361, -27.00603227546715, -28.273056764852996]"
40,Postcentral Gyrus,R G_postcentral,Background,Background,GM Primary somatosensory cortex BA1 R,right_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,40,"[43.066098471946816, -19.72333812552378, 56.624372626504396]"
41,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),L G_and_S_paracentral,Background,Background,GM Premotor cortex BA6 L,SUPERIOR_PARIETAL_LOBULE,SalVentAttnA,SalVentAttnA,41,"[0.290033973182247, -4.306482032409704, 73.31971879976356]"
42,Superior Frontal Gyrus,R G_front_sup,Background,Background,Background,SUPERIOR_FRONTAL_GYRUS_anterodorsal,DefaultB,DefaultB,42,"[13.606227210426326, 35.11482708131095, 53.07918408870751]"
43,Frontal Pole,R G_and_S_transv_frontopol,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral,DefaultB,DefaultA,43,"[18.656456600282368, 67.47087627230724, 17.76392466754335]"
44,Postcentral Gyrus,L S_postcentral,Background,Background,GM Primary somatosensory cortex BA2 L,right_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,44,"[-41.709592727003766, -31.4847381678659, 42.66838765161988]"
45,Frontal Pole,L G_and_S_transv_frontopol,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral,DefaultB,DefaultA,45,"[-16.323683058529497, 63.439575553825506, 12.82978000654235]"
46,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),R G_and_S_cingul-Mid-Post,Background,Background,GM Premotor cortex BA6 R,PRE_SUPPLEMENTARY_MOTOR_CORTEX_posterior,SalVentAttnA,SalVentAttnA,46,"[4.0815616059920075, 0.985868036052068, 55.26335161963178]"
47,Frontal Pole,L G_front_middle,Background,Background,Background,left_MIDDLE_FRONTAL_GYRUS_anterior,ContA,SalVentAttnB,47,"[-40.15674899202735, 48.90114759769736, 23.69744017297009]"
48,Middle Frontal Gyrus,R G_front_middle,Background,Background,GM Broca's area BA45 R,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,48,"[51.652444629955, 25.452196706053144, 31.304151490925605]"
49,"Lateral Occipital Cortex, superior division",L G_parietal_sup,Background,Background,GM Inferior parietal lobule Pga L,left_INTRAPARIETAL_SULCUS,ContA,ContB,49,"[-36.68121583271118, -64.14349352593919, 58.86909829239147]"
50,Paracingulate Gyrus,R G_and_S_cingul-Ant,Background,Background,Background,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,50,"[3.799867573523244, 47.474237572213525, 3.4989207287282227]"
51,Lingual Gyrus,L G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V2 BA18 L,NOISE,VisCent,VisCent,51,"[-2.35624377748384, -85.31195576208911, -10.867924956871477]"
52,Frontal Operculum Cortex,R G_insular_short,Background,Background,GM Broca's area BA44 R,ANTERIOR_INSULA_posterodorsal,SalVentAttnA,SalVentAttnA,52,"[42.696952844707454, 11.66949509525736, 1.4739195644784076]"
53,Background,L S_circular_insula_sup,Background,Anterior limb of internal capsule R,WM Superior occipito-frontal fascicle L,CAUDATE_dorsal,Background,Background,53,"[18.79536717028681, 19.16513620174831, 12.804717345406488]"
54,Precuneous Cortex,R S_parieto_occipital,Background,Background,GM Superior parietal lobule 7M R,PARIETO_OCCIPITAL_SULCUS_dorsal,ContA,ContC,54,"[14.37971307694204, -66.85662656977105, 36.75819909075564]"
55,Insular Cortex,L S_circular_insula_ant,Background,Cerebral peduncle L,Background,PUTAMEN_anterior,Background,SalVentAttnB,55,"[15.294652772869583, 9.528336076249786, 0.26399789249283856]"
56,Background,L S_front_sup,Background,Superior corona radiata R,WM Corticospinal tract L,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,Background,Background,56,"[-27.12449109709314, 3.321547317063363, 41.20709647309643]"
57,Background,R S_precentral-inf-part,Background,Anterior corona radiata L,WM Corticospinal tract R,right_SUPERIOR_FRONTAL_SULCUS,Background,Background,57,"[25.763238416442547, 7.67429108068967, 38.12328969782462]"
58,"Inferior Frontal Gyrus, pars opercularis",L S_precentral-inf-part,Background,Background,GM Broca's area BA44 L,left_INFERIOR_FRONTAL_SULCUS,DorsAttnB,ContA,58,"[-43.614053263433675, 5.897676951436239, 31.55191272680659]"
59,Lingual Gyrus,Background,Vermis VI,Background,Background,CEREBELLUM_VI_dorsal,Background,Background,59,"[7.493969835051402, -74.75848415844736, -17.15202255803777]"
60,"Supramarginal Gyrus, anterior division",R S_postcentral,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Inferior parietal lobule PFt R,left_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,60,"[45.77912337522619, -25.00076301433316, 36.154340097861976]"
61,Occipital Pole,R G_occipital_sup,Background,Background,GM Visual cortex V2 BA18 R,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,61,"[16.73128730394508, -89.15174545857903, 26.681825895661703]"
62,Middle Frontal Gyrus,L G_front_middle,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,ContB,62,"[-35.182231097449815, 13.531546747212076, 61.866551745377734]"
63,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),L G_and_S_cingul-Mid-Post,Background,Background,GM Premotor cortex BA6 L,SOMATOMOTOR_NETWORK_anteromedial,SomMotA,SomMotA,63,"[-4.425540737118496, -6.683792021605072, 51.143899515648485]"
64,Precentral Gyrus,R G_precentral,Background,Background,GM Premotor cortex BA6 R,FRONTAL_EYE_FIELD,SomMotA,DorsAttnB,64,"[30.73286570338989, -4.3746480467430615, 68.8897974296629]"
65,"Superior Temporal Gyrus, anterior division",L G_temp_sup-Lateral,Background,Background,Background,left_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,TempPar,65,"[-58.03471832555575, -2.566897885620648, -13.990179677090296]"
66,Temporal Occipital Fusiform Cortex,L S_oc-temp_med_and_Lingual,Left V,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) R,WM Optic radiation L,COLLATERAL_SULCUS,VisCent,DefaultC,66,"[-26.73806888121895, -44.389567910678494, -12.096068610768896]"
67,Paracingulate Gyrus,R G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal,DefaultB,DefaultA,67,"[0.21601889666150953, 58.34609893053465, 12.45460122905726]"
68,Superior Frontal Gyrus,R G_front_sup,Background,Background,GM Premotor cortex BA6 R,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,ContA,SalVentAttnB,68,"[14.413638971541076, 14.550492376246382, 61.85757094298762]"
69,Background,Background,Vermis IX,Inferior cerebellar peduncle L,Background,CEREBELLUM_IX_dorsal,Background,Background,69,"[0.07355495674207191, -57.31678210511885, -34.731956081634216]"
70,Background,Background,Background,Posterior limb of internal capsule R,WM Fornix,THALAMUS_dorsal,Background,Background,70,"[12.47418927065739, -21.93323775486941, 9.66169142945779]"
71,Background,R Lat_Fis-post,Background,Anterior limb of internal capsule L,GM Insula Ig1 R,THALAMUS_dorsal,Background,Background,71,"[24.41196454960803, -19.605893828768615, 13.711276941383218]"
72,Postcentral Gyrus,R G_postcentral,Background,Background,GM Primary somatosensory cortex BA2 R,left_POSTCENTRAL_SULCUS,SomMotA,SomMotA,72,"[49.468270379115296, -25.10462068386299, 50.38854671433643]"
73,Background,Background,Background,Posterior limb of internal capsule R,WM Corticospinal tract L,THALAMUS_dorsal,Background,Background,73,"[-12.36507082787692, -13.00856662318914, 10.788689464502113]"
74,"Lateral Occipital Cortex, superior division",L S_intrapariet_and_P_trans,Background,Background,GM Superior parietal lobule 7P L,left_INTRAPARIETAL_SULCUS,DorsAttnB,DorsAttnA,74,"[-25.355411796223223, -70.14840905234738, 48.31451670410293]"
75,"Supramarginal Gyrus, posterior division",L G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PF L,left_INFERIOR_PARIETAL_LOBULE,ContA,SalVentAttnB,75,"[-60.2551433729217, -44.42513540815689, 39.400234588019245]"
76,Frontal Medial Cortex,L G_rectus,Background,Background,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_anterior,LimbicA,LimbicB,76,"[-1.3275467317890843, 52.026303502138006, -15.053822622136273]"
77,"Lateral Occipital Cortex, inferior division",R G_and_S_occipital_inf,Background,Background,GM Visual cortex V5 R,LATERAL_VISUAL_NETWORK_posterior,VisCent,VisCent,77,"[45.32448167844382, -69.21046847590412, -5.235371331871988]"
78,Frontal Orbital Cortex,R G_orbital,Background,Background,GM Broca's area BA44 R,ANTERIOR_INSULA_ventral,SalVentAttnA,TempPar,78,"[51.01702040863245, 18.77171742172621, -6.793833384784335]"
79,Background,Background,Background,Posterior corona radiata R,GM Anterior intra-parietal sulcus hIP1 L,Background,Background,Background,79,"[-27.84652368245763, -46.6345826081123, 27.365184660195922]"
80,"Parahippocampal Gyrus, posterior division",L G_oc-temp_med-Parahip,Left V,Inferior cerebellar peduncle L,GM Hippocampus subiculum L,CEREBELLUM_I-V,VisCent,DefaultC,80,"[-18.33576801117752, -40.95916036320631, -18.735828282167247]"
81,Supracalcarine Cortex,R G_cingul-Post-ventral,Background,Body of corpus callosum,GM Visual cortex V1 BA17 R,MEDIAL_VISUAL_NETWORK_anterodorsal,VisCent,DefaultC,81,"[-14.04087808112665, -61.71217387610565, 11.823106464633327]"
82,Background,R G_oc-temp_med-Parahip,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) R,GM Hippocampus hippocampal-amygdaloid transition area L,AMYGDALA,Background,Background,82,"[-24.62930172044439, -16.301738095239386, -14.350707324007246]"
83,Frontal Pole,L G_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,DefaultB,83,"[-15.97283637931632, 43.765790208753856, 43.04540927278505]"
84,Background,Background,Left Crus II,Background,Background,left_CEREBELLUM_CRUSII_anterior,Background,Background,84,"[-38.73084830295827, -66.47548233329526, -43.1826795142346]"
85,"Supramarginal Gyrus, posterior division",R S_interm_prim-Jensen,Background,Background,GM Anterior intra-parietal sulcus hIP2 R,right_INTRAPARIETAL_SULCUS,DorsAttnB,ContA,85,"[38.9009247248444, -42.21061307682204, 41.813590365835125]"
86,Cuneal Cortex,L G_occipital_sup,Background,Background,GM Inferior parietal lobule PGp L,MEDIODORSAL_VISUAL_NETWORK_anterior,VisCent,VisPeri,86,"[-18.377921259469687, -83.99776200921758, 36.58495239539509]"
87,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V2 BA18 L,POSTERIOR_VISUAL_NETWORK_dorsomedial,VisCent,VisCent,87,"[-11.766098330213609, -99.60102926886015, 8.123633565932053]"
88,Background,L S_central,Background,Superior corona radiata R,WM Corticospinal tract L,right_POSTCENTRAL_SULCUS,Background,Background,88,"[-25.11422592886781, -18.12985548048431, 42.283934804032356]"
89,"Cingulate Gyrus, anterior division",R G_and_S_cingul-Mid-Post,Background,Cingulum (cingulate gyrus) R,GM Premotor cortex BA6 R,CINGULATE_SULCUS_posterior,SalVentAttnA,SalVentAttnA,89,"[-0.09849899344024493, 2.5456222606375434, 41.20013161600747]"
90,Precuneous Cortex,L G_cingul-Post-ventral,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,PARIETO_OCCIPITAL_SULCUS,DefaultB,DefaultC,90,"[-11.556728931719334, -56.47074953116842, 16.495801827251782]"
91,Postcentral Gyrus,L G_and_S_paracentral,Background,Background,GM Superior parietal lobule 5L L,PRECUNEUS_dorsal,DorsAttnB,DorsAttnB,91,"[-3.8843340075748927, -47.95720990278565, 72.25641863642275]"
92,"Inferior Temporal Gyrus, temporooccipital part",R S_oc-temp_lat,Background,Posterior thalamic radiation (include optic radiation) L,WM Optic radiation R,FUSIFORM_GYRUS_ventrolateral,DorsAttnB,DorsAttnA,92,"[48.57958452104995, -55.52817238775765, -10.714092991154587]"
93,Central Opercular Cortex,L S_circular_insula_sup,Background,Superior longitudinal fasciculus R,GM Secondary somatosensory cortex / Parietal operculum OP3 L,POSTERIOR_INSULA_dorsal,SomMotA,SomMotB,93,"[-41.20066112962458, -13.330407352867496, 17.383335216079914]"
94,Superior Frontal Gyrus,L S_front_sup,Background,Background,GM Premotor cortex BA6 L,FRONTAL_EYE_FIELD,DorsAttnB,DorsAttnB,94,"[-25.408906731079995, 2.5380924796379247, 64.59342752517793]"
95,"Inferior Frontal Gyrus, pars triangularis",R S_front_inf,Background,Background,GM Broca's area BA45 R,right_INFERIOR_FRONTAL_SULCUS,ContA,ContA,95,"[45.7544932713854, 33.68434435980558, 18.325393072425527]"
96,Postcentral Gyrus,L G_postcentral,Background,Background,GM Primary somatosensory cortex BA1 L,POSTCENTRAL_SULCUS_dorsal,SomMotA,SomMotA,96,"[-54.52808611957435, -25.946139963115115, 53.140348752192665]"
97,Planum Temporale,L Lat_Fis-post,Background,Superior longitudinal fasciculus R,GM Insula Ig1 L,left_ANGULAR_GYRUS,Background,SomMotB,97,"[-37.26497494171089, -45.02028231960813, 16.55166170723976]"
98,"Supramarginal Gyrus, anterior division",R G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PF R,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnB,98,"[63.34675003266673, -34.000782626266215, 42.04460670865656]"
99,Angular Gyrus,R S_interm_prim-Jensen,Background,Background,GM Inferior parietal lobule Pga R,right_ANGULAR_GYRUS,DefaultB,DefaultA,99,"[52.86081133700512, -49.253912935861806, 22.753277174034068]"
100,Temporal Pole,L Pole_temporal,Background,Background,Background,left_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,DefaultB,100,"[-50.3362710214723, 11.735584911280085, -31.275049550283256]"
101,Precentral Gyrus,L G_and_S_cingul-Mid-Post,Background,Background,GM Primary motor cortex BA4a L,SOMATOMOTOR_NETWORK_medial,SomMotA,SomMotA,101,"[-2.5937938033128063, -20.94858422904518, 51.39141469885365]"
102,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),R G_front_sup,Background,Background,GM Premotor cortex BA6 R,SOMATOMOTOR_NETWORK_medial,SomMotA,SomMotA,102,"[1.1753456141441774, -14.054946309216504, 61.39940129783966]"
103,Superior Frontal Gyrus,L G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_posterior,DefaultB,DefaultB,103,"[-3.503538895071756, 44.05004212412189, 39.274193938913854]"
104,"Parahippocampal Gyrus, anterior division",L G_temp_sup-Plan_polar,Background,Uncinate fasciculus R,GM Amygdala_laterobasal group L,AMYGDALA,Background,LimbicA,104,"[-24.902564381078804, -7.476424545530591, -21.346975379569244]"
105,"Parahippocampal Gyrus, anterior division",R G_temp_sup-Plan_polar,Background,Background,GM Amygdala_laterobasal group R,INFERIOR_TEMPORAL_GYRUS,LimbicA,LimbicA,105,"[29.94890563703521, -3.4785765150698467, -30.26295108090806]"
106,Supracalcarine Cortex,R G_cuneus,Background,Background,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,106,"[1.4863990055193312, -81.29158086080122, 12.902292584905481]"
107,Postcentral Gyrus,R S_cingul-Marginalis,Background,Background,GM Primary somatosensory cortex BA3a R,INFERIOR_MARGINAL_SULCUS,SomMotA,SomMotA,107,"[13.061738526056274, -32.07180021067933, 53.79295713571199]"
108,Occipital Pole,R S_oc_middle_and_Lunatus,Background,Background,GM Visual cortex V2 BA18 R,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,108,"[26.69374607970117, -92.51951258778179, 8.901640554721666]"
109,Background,R S_circular_insula_sup,Background,Superior longitudinal fasciculus L,WM Superior occipito-frontal fascicle R,PUTAMEN_posterior,Background,Background,109,"[25.422778814004587, 1.7016200319748975, 16.618716924494734]"
110,Insular Cortex,L S_circular_insula_sup,Background,External capsule R,GM Secondary somatosensory cortex / Parietal operculum OP3 L,PUTAMEN_posterior,Background,Background,110,"[-27.129722596187662, -0.23863601877667406, 8.837132374287862]"
111,Frontal Pole,L G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral,DefaultB,DefaultA,111,"[-18.127258584632372, 69.95717098265803, 12.845726855670762]"
112,Background,L S_front_middle,Background,Anterior corona radiata R,WM Callosal body,right_FRONTAL_POLE_lateral,Background,Background,112,"[-23.498090196305, 37.927523609888254, 5.1320655041232754]"
113,Temporal Pole,L G_temp_sup-Plan_polar,Background,Background,Background,SUPERIOR_TEMPORAL_GYRUS_anterior,LimbicA,LimbicA,113,"[-41.21861856086577, 12.72132837625864, -20.691529573045393]"
114,Frontal Pole,R G_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,ContA,SalVentAttnB,114,"[25.92285719086732, 55.015817825969805, 25.871429148436974]"
115,Planum Polare,L G_temp_sup-G_T_transv,Background,Background,GM Primary auditory cortex TE1.2 L,POSTERIOR_INSULA_ventral,SalVentAttnA,SomMotB,115,"[-46.734564789163066, -5.400672537546299, -0.27343360785417303]"
116,Paracingulate Gyrus,L G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_posterior,ContA,ContB,116,"[0.24785582139635665, 28.81966013257656, 41.30735621707127]"
117,Superior Frontal Gyrus,L G_front_sup,Background,Background,GM Premotor cortex BA6 L,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,SalVentAttnA,SalVentAttnB,117,"[-10.68518082372718, 10.233566444051917, 69.05404432998213]"
118,"Supramarginal Gyrus, posterior division",R S_interm_prim-Jensen,Background,Background,GM Inferior parietal lobule PFm R,SUPRAMARGINAL_GYRUS,ContA,ContB,118,"[53.23897194321478, -43.011804687717756, 43.641762117071735]"
119,Frontal Orbital Cortex,R S_orbital_med-olfact,Background,Uncinate fasciculus R,GM Amygdala_superficial group R,AMYGDALA,Background,Background,119,"[22.87736092351527, 2.002681565196184, -14.490464699099704]"
120,Background,R G_oc-temp_lat-fusifor,Right VI,Background,Background,CEREBELLUM_VI_dorsal,Background,Background,120,"[26.435253395986294, -53.9723742316731, -24.635090102212935]"
121,Intracalcarine Cortex,R G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,121,"[0.08469371227482725, -67.27277421585636, 6.969095727240969]"
122,Cuneal Cortex,R S_parieto_occipital,Background,Background,GM Visual cortex V2 BA18 R,MEDIODORSAL_VISUAL_NETWORK_anterior,VisCent,VisPeri,122,"[12.667681258226878, -73.15994236176867, 21.412792643941415]"
123,Superior Frontal Gyrus,L S_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,DefaultA,123,"[-23.8637504849017, 17.57598959842241, 51.75945141161486]"
